ID,Name,Latitude,Longitude,Public,Total docks,roundtrip_ratio,trips,log_trips
B32029,Columbia Rd at Ceylon St,42.309572,-71.0729,Yes,15,0.0960321136328547,6477,3.811373897053893
C32052,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,Yes,19,0.1081462942031325,49544,4.6949910670015145
C32077,Columbus Ave at W. Canton St,42.34474225,-71.07648162,Yes,19,0.036371486728211,97274,4.987996774847518
A32002,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,Yes,15,0.0253831469472742,277113,5.442656900000324
D32033,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,Yes,19,0.0807051255273821,23939,4.379106004735696
A32017,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,Yes,15,0.039032612191038,90181,4.955115046806369
D32034,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,Yes,15,0.0312344693604012,66401,4.8221746198983135
D32009,Congress St at Boston City Hall,42.36041775,-71.05752244,Yes,23,0.0296997912987638,74748,4.873599576921766
C32032,Congress St at Northern Ave,42.3481,-71.03764,Yes,15,0.0543378009772562,101918,5.008250892645453
D32005,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,Yes,28,0.0290014800998979,283089,5.451922994295819
D32010,Cross St at Hanover St,42.362811,-71.056067,Yes,19,0.0320058483603704,287260,5.458275156139176
Z32999,Cummins Highway at Blue Hill Ave T Stop,42.26998847,-71.09746183,Yes,14,0.2758620689655172,29,1.462397997898956
E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Yes,15,0.0669585115908864,40204,4.6042692643159775
D32045,Dartmouth St at Newbury St,42.35096144,-71.07782811,Yes,19,0.036650379203708,139371,5.144172416156496
A32051,Day Sq,42.379295,-71.027733,Yes,16,0.0931329207191276,6786,3.831613855309099
B32037,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,Yes,19,0.0463881183838778,194317,5.2885107969107885
C32009,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,Yes,15,0.035453449620648,56412,4.751371497235877
C32066,Dorchester Ave at King St,42.291718,-71.062571,Yes,15,0.1054706752094628,2029,3.307282047033346
B32017,Dudley Square - Bolling Building,42.32984299,-71.08386572,Yes,0,0.0238782565308813,28059,4.448072189065087
C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Yes,15,0.054108062408731,13011,4.114310676868424
A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Yes,16,0.0663124675428434,25033,4.398512899363422
A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Yes,19,0.0422891194903935,48665,4.687216727711397
E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Yes,15,0.0474144624462963,19319,4.285984642487249
A32000,Fan Pier,42.35339051,-71.0445714,Yes,15,0.053271569195136,100166,5.000720331130396
