businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
New York Shawarma Guys,,83 Canal,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2020-09-18 13:53:15.863+00,6172270505,158274,42.36430664,-71.05963187
New York Sub Shop,,433 MASSACHUSETTS ,BOSTON,MA,2118,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:07+00,6172667020,,42.34057179,-71.08210131
New Yorker Fried Chicken,,1251 River,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,2018-04-24 15:38:07.513+00,6173610709,413523,42.25604962,-71.12345082
News Room Cafe,,7 Bulfinch,Boston,MA,2114,Active,FS,Eating & Drinking,2019-03-18 17:15:55.297+00,6177250831,156763,42.36181412,-71.06131083
NexDine @ Catholic Memorial High School,,235 Baker,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,2022-10-20 16:55:38.447+00,9786748464,158133,42.27781522,-71.16635956
Next Door Speakeasy,,103 Porter,East Boston,MA,2128,Active,FS,Eating & Drinking,2021-10-19 15:46:38.237+00,,112037,42.37303449,-71.03620836
Nfarra 2,,127 Maverick,East Boston,MA,2128,Active,FS,Eating & Drinking,2012-09-24 14:12:04+00,,92950,42.37020649,-71.03936138
Nhu Lan Fast Food,,1155 Dorchester,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,2011-02-04 14:43:57+00,6174741989,155879,42.31139433,-71.05807012
Nicholas Sub & Pizza Shop,,600 Hyde Park,Roslindale,MA,2131,Active,FT,Eating & Drinking w/ Take Out,2009-06-22 15:34:03+00,6173277728,156517,42.28002664,-71.11865974
NICKERSON FIELD (BU),,285 BABCOCK,BOSTON,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:01+00,6173532947,,34.24438675,-73.6513909
NICK'S,,4590 Washington,Roslindale,MA,2131,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:55+00,6173278199,145305,42.27625964,-71.13884081
Nick's Pizza and Seafood,,1143 Blue Hill,DORCHESTER,MA,2124,Active,FT,Eating & Drinking w/ Take Out,2008-01-07 14:35:02+00,6172828805,,42.28548957,-71.09135068
Nicks/Venue,,100 Warrenton,Boston,MA,2116,Active,FS,Eating & Drinking,2006-12-07 18:34:00+00,6174820930,155721,42.35077591,-71.06622975
Nico Restaurant,,417 Hanover,Boston,MA,2113,Active,FS,Eating & Drinking,2008-09-12 12:18:24+00,6177420404,69140,42.36563951,-71.05270042
