X,Y,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,ObjectId
-71.113558282,42.26368381,43652,"Oak, Swamp White",Quercus bicolor,1,6-12in,12.5,--,Boston,Hyde Park,Ross Playground,-71.11356,42.26368,257
-71.113582422,42.26377115,43653,"Oak, Swamp White",Quercus bicolor,1,6-12in,11,--,Boston,Hyde Park,Ross Playground,-71.11358,42.26377,258
-71.113622655,42.263840624,43654,"Oak, Swamp White",Quercus bicolor,1,6-12in,11.5,--,Boston,Hyde Park,Ross Playground,-71.11362,42.26384,259
-71.113657524,42.263912084,43655,"Oak, Swamp White",Quercus bicolor,1,6-12in,10.9,--,Boston,Hyde Park,Ross Playground,-71.11366,42.26391,260
-71.113687027,42.263992476,43656,"Oak, Swamp White",Quercus bicolor,1,6-12in,11.6,--,Boston,Hyde Park,Ross Playground,-71.11369,42.26399,261
-71.11371519,42.264070883,43657,"Oak, Swamp White",Quercus bicolor,1,6-12in,9.5,--,Boston,Hyde Park,Ross Playground,-71.11372,42.26407,262
-71.113814432,42.264065921,43658,"Oak, Swamp White",Quercus bicolor,1,6-12in,8,--,Boston,Hyde Park,Ross Playground,-71.11382,42.26406,263
-71.113805044,42.263961709,43659,"Oak, Swamp White",Quercus bicolor,1,6-12in,11.2,--,Boston,Hyde Park,Ross Playground,-71.11381,42.26396,264
-71.113932449,42.263921017,43660,"Oak, Swamp White",Quercus bicolor,1,3-6in,5.4,--,Boston,Hyde Park,Ross Playground,-71.11393,42.26392,265
-71.113996822,42.263912085,43661,"Oak, Swamp White",Quercus bicolor,1,3-6in,6,--,Boston,Hyde Park,Ross Playground,-71.114,42.26391,266
-71.114053149,42.263973619,43662,"Oak, Swamp White",Quercus bicolor,1,6-12in,6.2,--,Boston,Hyde Park,Ross Playground,-71.11405,42.26397,267
-71.11411484,42.264043093,43663,"Oak, Swamp White",Quercus bicolor,1,3-6in,4.8,--,Boston,Hyde Park,Ross Playground,-71.11411,42.26404,268
-71.114157755,42.264388975,43664,"Oak, Swamp White",Quercus bicolor,1,6-12in,6.8,--,Boston,Hyde Park,Ross Playground,-71.11416,42.26439,269
-71.114059533,42.26440452,43665,"Oak, Swamp White",Quercus bicolor,1,6-12in,6.8,--,Boston,Hyde Park,Ross Playground,-71.11406,42.2644,270
-71.113820817,42.264314204,43666,"Oak, Swamp White",Quercus bicolor,1,6-12in,8.7,--,Boston,Hyde Park,Ross Playground,-71.11382,42.26431,271
-71.113891895,42.264462084,43667,"Oak, Swamp White",Quercus bicolor,1,6-12in,8,--,Boston,Hyde Park,Ross Playground,-71.11389,42.26446,272
-71.114083003,42.264968248,43668,"Linden,Littleleaf 'Greenspire'",Tilia cordata 'Greenspire',1,18-24in,19.5,--,Boston,Hyde Park,Ross Playground,-71.11408,42.26497,273
-71.031484723,42.371657617,43676,Tulip Tree,Liriodendron tulipifera,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.03149,42.37166,274
-71.027481517,42.370458541,43677,Tulip Tree,Liriodendron tulipifera,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.02748,42.37046,275
-71.027545308,42.370501799,43678,"Cherry, Autumnalis",Prunus subhirtella 'Autumnalis',1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.02754,42.3705,276
-71.027429055,42.37039759,43679,"Cherry, Autumnalis",Prunus subhirtella 'Autumnalis',1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.02743,42.3704,277
-71.02780646,42.370110456,43680,"Hackberry, Northern",Celtis occidentalis,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.02781,42.37011,278
-71.027933441,42.370126315,43681,"Cherry, Autumnalis",Prunus subhirtella 'Autumnalis',1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.02793,42.37012,279
-71.028012993,42.370143737,43682,"Cherry, Autumnalis",Prunus subhirtella 'Autumnalis',1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.02802,42.37014,280
-71.028225092,42.370129555,43683,"Spruce, Norway",Picea abies,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.02823,42.37013,281
-71.028302525,42.370116333,43684,"Spruce, Norway",Picea abies,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.02831,42.37012,282
-71.028322877,42.370161098,43685,"Spruce, Norway",Picea abies,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.02832,42.37016,283
-71.028335877,42.370199384,43686,"Spruce, Norway",Picea abies,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.02834,42.3702,284
-71.028473469,42.37025855,43687,"Spruce, Norway",Picea abies,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.02847,42.37026,285
-71.028673237,42.370340846,43688,"Spruce, Norway",Picea abies,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.02867,42.37034,286
-71.028673237,42.370340846,43689,"Spruce, Norway",Picea abies,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.02867,42.37034,287
-71.028784588,42.370389922,43690,Serviceberry,Amelanchier species,1,0-3in,2,Spring 2023,Boston,East Boston,East Boston Memorial Park,-71.02879,42.37039,288
-71.028830232,42.370392523,43691,Serviceberry,Amelanchier species,1,0-3in,2,Spring 2023,Boston,East Boston,East Boston Memorial Park,-71.02883,42.37039,289
-71.028875269,42.370405295,43692,Serviceberry,Amelanchier species,1,0-3in,2,Spring 2023,Boston,East Boston,East Boston Memorial Park,-71.02888,42.37041,290
-71.030779096,42.370857577,43693,"Spruce, Norway",Picea abies,1,0-3in,3,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.03078,42.37086,291
-71.030889904,42.370870488,43694,"Spruce, Norway",Picea abies,1,0-3in,3,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.03089,42.37087,292
-71.031922878,42.371478107,43695,"Spruce, Norway",Picea abies,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.03192,42.37148,293
-71.031988702,42.371532269,43696,"Spruce, Norway",Picea abies,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.03199,42.37153,294
-71.032016344,42.371620399,43697,"Spruce, Norway",Picea abies,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.03201,42.37162,295
-71.031834676,42.371922629,43698,Tulip Tree,Liriodendron tulipifera,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.03184,42.37192,296
-71.031947727,42.371985916,43699,Tulip Tree,Liriodendron tulipifera,1,0-3in,2,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.03194,42.37199,297
-71.032205968,42.371832746,43700,"Spruce, Norway",Picea abies,1,0-3in,3,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.0322,42.37183,298
-71.033496121,42.372052051,43701,"Spruce, Norway",Picea abies,1,0-3in,3,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.03349,42.37205,299
-71.033453295,42.372072688,43702,"Spruce, Norway",Picea abies,1,0-3in,3,Fall 2023,Boston,East Boston,East Boston Memorial Park,-71.03345,42.37207,300
-71.032247609,42.371834067,43703,"Spruce, Norway",Picea abies,1,6-12in,8,--,Boston,East Boston,East Boston Memorial Park,-71.03225,42.37183,301
-71.032183935,42.37180665,43704,"Spruce, Norway",Picea abies,1,6-12in,6,--,Boston,East Boston,East Boston Memorial Park,-71.03218,42.37181,302
-71.032230201,42.371861947,43705,"Maple, Red",Acer rubrum,1,12-18in,14,--,Boston,East Boston,East Boston Memorial Park,-71.03223,42.37186,303
-71.032022768,42.372054165,43706,"Maple, Red",Acer rubrum,1,6-12in,7,--,Boston,East Boston,East Boston Memorial Park,-71.03202,42.37206,304
-71.032169575,42.372118195,43707,"Maple, Red",Acer rubrum,1,6-12in,7,--,Boston,East Boston,East Boston Memorial Park,-71.03217,42.37212,305
-71.032357869,42.372158736,43708,"Maple, Red",Acer rubrum,1,6-12in,7,--,Boston,East Boston,East Boston Memorial Park,-71.03236,42.37216,306
-71.032573918,42.372117077,43709,"Maple, Red 'October Glory'",Acer rubrum 'October Glory',1,6-12in,10,--,Boston,East Boston,East Boston Memorial Park,-71.03258,42.37212,307
-71.032653679,42.372128355,43710,"Maple, Red 'October Glory'",Acer rubrum 'October Glory',1,6-12in,8,--,Boston,East Boston,East Boston Memorial Park,-71.03265,42.37213,308
