X,Y,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,ObjectId
-71.019297735,42.382460698,43790,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,15,--,Boston,East Boston,McLean Playground,-71.01929,42.38246,387
-71.019333944,42.382524098,43791,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,18-24in,20,--,Boston,East Boston,McLean Playground,-71.01933,42.38252,388
-71.01929237,42.382563723,43792,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,17,--,Boston,East Boston,McLean Playground,-71.01929,42.38256,389
-71.019217268,42.382582545,43793,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,16,--,Boston,East Boston,McLean Playground,-71.01922,42.38258,390
-71.019100592,42.382624151,43794,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,10,--,Boston,East Boston,McLean Playground,-71.0191,42.38263,391
-71.019033537,42.382644954,43795,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,11,--,Boston,East Boston,McLean Playground,-71.01904,42.38264,392
-71.018989281,42.382682597,43796,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,18-24in,19,--,Boston,East Boston,McLean Playground,-71.01899,42.38268,393
-71.019260184,42.38275194,43797,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,18-24in,22,--,Boston,East Boston,McLean Playground,-71.01926,42.38275,394
-71.062174772,42.304784426,43849,Cherry/Plum,Prunus species,1,18-24in,18.1,--,Boston,Dorchester,Ronan Park,-71.06217,42.30478,395
-71.019214586,42.382806424,43798,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,16,--,Boston,East Boston,McLean Playground,-71.01921,42.3828,396
-71.019159601,42.38284704,43799,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,18-24in,20,--,Boston,East Boston,McLean Playground,-71.01916,42.38285,397
-71.019301758,42.382824256,43800,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,12,--,Boston,East Boston,McLean Playground,-71.0193,42.38282,398
-71.019339309,42.382857936,43801,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,18-24in,23,--,Boston,East Boston,McLean Playground,-71.01934,42.38286,399
-71.019272254,42.382893599,43802,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,15,--,Boston,East Boston,McLean Playground,-71.01927,42.38289,400
-71.019225315,42.382905486,43803,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,18-24in,18,--,Boston,East Boston,McLean Playground,-71.01923,42.3829,401
-71.019166306,42.382932233,43804,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,13,--,Boston,East Boston,McLean Playground,-71.01917,42.38293,402
-71.063852255,42.304397171,43805,Crabapple spp.,Malus spp.,4,18-24in,18,--,Boston,Dorchester,Ronan Park,-71.06385,42.3044,403
-71.063622926,42.304362456,43806,"Oak, Pin",Quercus palustris,1,>30in,48,--,Boston,Dorchester,Ronan Park,-71.06362,42.30436,404
-71.063483451,42.304150199,43807,"Maple, Norway",Acer platanoides,1,12-18in,16,--,Boston,Dorchester,Ronan Park,-71.06348,42.30415,405
-71.063428466,42.304085728,43808,"Maple, Red",Acer rubrum,1,3-6in,5,--,Boston,Dorchester,Ronan Park,-71.06343,42.30408,406
-71.063370799,42.304010347,43809,"Maple, Norway",Acer platanoides,1,6-12in,12,--,Boston,Dorchester,Ronan Park,-71.06337,42.30401,407
-71.063240711,42.303870494,43810,"Maple, Norway",Acer platanoides,1,12-18in,17,--,Boston,Dorchester,Ronan Park,-71.06324,42.30387,408
-71.063183044,42.303792137,43811,"Maple, Norway",Acer platanoides,1,12-18in,17,--,Boston,Dorchester,Ronan Park,-71.06319,42.30379,409
-71.063136105,42.303705845,43812,"Maple, Norway",Acer platanoides,1,18-24in,18,--,Boston,Dorchester,Ronan Park,-71.06313,42.30371,410
-71.06405208,42.304826642,43813,"Oak, Bur",Quercus macrocarpa,1,>30in,58,--,Boston,Dorchester,Ronan Park,-71.06405,42.30482,411
-71.063083802,42.30359674,43814,"Maple, Norway",Acer platanoides,1,18-24in,21,--,Boston,Dorchester,Ronan Park,-71.06309,42.3036,412
-71.063040887,42.303519374,43815,"Maple, Norway",Acer platanoides,1,18-24in,20,--,Boston,Dorchester,Ronan Park,-71.06304,42.30352,413
-71.06294701,42.303381505,43816,"Oak, Northern Red",Quercus rubra,1,>30in,34,--,Boston,Dorchester,Ronan Park,-71.06295,42.30338,414
-71.084254478,42.291644613,43817,"Maple, Miyabe",Acer miyabei,1,0-3in,2,Fall 2023,Boston,Dorchester,Harambee Park,-71.08425,42.29165,415
-71.084203516,42.291769612,43818,"Maple, Miyabe",Acer miyabei,1,0-3in,2,Fall 2023,Boston,Dorchester,Harambee Park,-71.08421,42.29177,416
-71.084136461,42.291892626,43819,"Maple, Miyabe",Acer miyabei,1,0-3in,2,Fall 2023,Boston,Dorchester,Harambee Park,-71.08414,42.29189,417
-71.084182058,42.291833103,43820,"Hackberry, Northern",Celtis occidentalis,1,0-3in,2,Fall 2023,Boston,Dorchester,Harambee Park,-71.08418,42.29183,418
-71.084235702,42.291716041,43821,"Hackberry, Northern",Celtis occidentalis,1,0-3in,2,Fall 2023,Boston,Dorchester,Harambee Park,-71.08424,42.29172,419
-71.031990312,42.372425293,43825,"Dogwood, Kousa",Cornus kousa,3,6-12in,8,Spring 2023,Boston,East Boston,East Boston Memorial Park,-71.03199,42.37243,420
-71.031916551,42.372452044,43826,"Dogwood, Kousa",Cornus kousa,3,6-12in,8,Spring 2023,Boston,East Boston,East Boston Memorial Park,-71.03191,42.37245,421
-71.031912528,42.372408449,43827,"Dogwood, Kousa",Cornus kousa,3,6-12in,8,Spring 2023,Boston,East Boston,East Boston Memorial Park,-71.03191,42.37241,422
-71.063577698,42.305389203,43828,"Beech, European",Fagus sylvatica,1,18-24in,20.4,--,Boston,Dorchester,Ronan Park,-71.06358,42.30539,423
-71.063538136,42.305439291,43829,"Basswood, American",Tilia americana,3,6-12in,9,--,Boston,Dorchester,Ronan Park,-71.06354,42.30544,424
-71.063658835,42.305447226,43830,"Oak, White",Quercus alba,1,>30in,55.4,--,Boston,Dorchester,Ronan Park,-71.06366,42.30545,425
-71.063800992,42.305485907,43831,"Maple, Sugar",Acer saccharum,1,>30in,35.8,--,Boston,Dorchester,Ronan Park,-71.0638,42.30548,426
-71.063949855,42.305387715,43832,Honeylocust,Gleditsia triacanthos,1,>30in,49,--,Boston,Dorchester,Ronan Park,-71.06395,42.30539,427
-71.064207347,42.305408544,43833,Honeylocust,Gleditsia triacanthos,1,6-12in,10.1,--,Boston,Dorchester,Ronan Park,-71.06421,42.30541,428
-71.064298542,42.305220095,43834,"Lilac, Japanese Tree",Syringa reticulata,1,3-6in,3.9,--,Boston,Dorchester,Ronan Park,-71.0643,42.30522,429
-71.064180525,42.305067351,43835,"Lilac, Japanese Tree",Syringa reticulata,1,3-6in,3.1,--,Boston,Dorchester,Ronan Park,-71.06418,42.30507,430
-71.064151021,42.30495924,43836,"Cherry, Japanese Flowering",Prunus serrulata,3,>30in,38,--,Boston,Dorchester,Ronan Park,-71.06415,42.30496,431
-71.063765453,42.304734587,43837,"Elm, Rock",Ulmus thomasii,1,>30in,35.5,--,Boston,Dorchester,Ronan Park,-71.06377,42.30473,432
-71.063671576,42.304700864,43838,"Oak, White",Quercus alba,1,>30in,37.8,--,Boston,Dorchester,Ronan Park,-71.06367,42.3047,433
-71.063692363,42.304903697,43839,"Oak, Swamp White",Quercus bicolor,1,>30in,44,--,Boston,Dorchester,Ronan Park,-71.06369,42.3049,434
-71.063507961,42.304744505,43840,"Oak, Swamp White",Quercus bicolor,1,3-6in,4,--,Boston,Dorchester,Ronan Park,-71.06351,42.30474,435
-71.063256504,42.304887827,43841,"Oak, Pin",Quercus palustris,1,>30in,40.7,--,Boston,Dorchester,Ronan Park,-71.06326,42.30489,436
-71.063133122,42.304918574,43842,"Oak, Pin",Quercus palustris,1,>30in,55.5,--,Boston,Dorchester,Ronan Park,-71.06313,42.30492,437
-71.063314171,42.304968167,43843,"Oak, Pin",Quercus palustris,1,>30in,39.2,--,Boston,Dorchester,Ronan Park,-71.06332,42.30497,438
-71.063249798,42.305071318,43844,"Maple, Red",Acer rubrum,1,>30in,40,--,Boston,Dorchester,Ronan Park,-71.06325,42.30507,439
-71.063158603,42.305008832,43845,"Oak, Swamp White",Quercus bicolor,1,18-24in,22.2,--,Boston,Dorchester,Ronan Park,-71.06316,42.30501,440
-71.063514535,42.305065614,43846,"Maple, Red",Acer rubrum,1,>30in,38,--,Boston,Dorchester,Ronan Park,-71.06351,42.30507,441
-71.062176113,42.30485088,43850,"Maple, Japanese",Acer palmatum,1,6-12in,9.5,--,Boston,Dorchester,Ronan Park,-71.06218,42.30485,442
-71.062279378,42.305031395,43851,"Maple, Red",Acer rubrum,1,6-12in,7.7,--,Boston,Dorchester,Ronan Park,-71.06228,42.30503,443
-71.062129174,42.304966925,43852,"Maple, Red",Acer rubrum,1,6-12in,6.6,--,Boston,Dorchester,Ronan Park,-71.06213,42.30497,444
-71.062058096,42.304928243,43853,"Maple, Red",Acer rubrum,1,6-12in,7.1,--,Boston,Dorchester,Ronan Park,-71.06206,42.30493,445
-71.061996405,42.304882619,43854,"Maple, Red",Acer rubrum,1,6-12in,8.1,--,Boston,Dorchester,Ronan Park,-71.062,42.30488,446
-71.061925326,42.304833026,43855,"Maple, Red",Acer rubrum,1,6-12in,9.6,--,Boston,Dorchester,Ronan Park,-71.06193,42.30483,447
-71.06201518,42.304581097,43856,Honeylocust,Gleditsia triacanthos,1,12-18in,13,--,Boston,Dorchester,Ronan Park,-71.06201,42.30458,448
-71.061847542,42.304485879,43857,Honeylocust,Gleditsia triacanthos,1,12-18in,12.3,--,Boston,Dorchester,Ronan Park,-71.06184,42.30449,449
-71.061767076,42.304339085,43858,Honeylocust,Gleditsia triacanthos,1,12-18in,12.3,--,Boston,Dorchester,Ronan Park,-71.06177,42.30434,450
-71.061657776,42.304035081,43859,Honeylocust,Gleditsia triacanthos,1,18-24in,22,--,Boston,Dorchester,Ronan Park,-71.06166,42.30404,451
-71.061557193,42.303891261,43860,Honeylocust,Gleditsia triacanthos,1,6-12in,11.4,--,Boston,Dorchester,Ronan Park,-71.06155,42.30389,452
-71.061579992,42.303734547,43861,Honeylocust,Gleditsia triacanthos,1,12-18in,12.5,--,Boston,Dorchester,Ronan Park,-71.06158,42.30373,453
-71.061618884,42.303575848,43862,Honeylocust,Gleditsia triacanthos,1,6-12in,11.4,--,Boston,Dorchester,Ronan Park,-71.06162,42.30358,454
-71.061329876,42.30395474,43863,Honeylocust,Gleditsia triacanthos,1,12-18in,14.2,--,Boston,Dorchester,Ronan Park,-71.06133,42.30396,455
-71.06133524,42.304044007,43864,Honeylocust,Gleditsia triacanthos,1,6-12in,10.7,--,Boston,Dorchester,Ronan Park,-71.06133,42.30404,456
-71.061409001,42.304084674,43865,Honeylocust,Gleditsia triacanthos,1,6-12in,9.3,--,Boston,Dorchester,Ronan Park,-71.06141,42.30408,457
-71.061463986,42.304183859,43866,Honeylocust,Gleditsia triacanthos,1,6-12in,10.4,--,Boston,Dorchester,Ronan Park,-71.06146,42.30418,458
-71.061463986,42.304183859,43867,Honeylocust,Gleditsia triacanthos,1,6-12in,10.4,--,Boston,Dorchester,Ronan Park,-71.06146,42.30418,459
-71.061403637,42.30427511,43868,Honeylocust,Gleditsia triacanthos,1,12-18in,12.1,--,Boston,Dorchester,Ronan Park,-71.0614,42.30428,460
-71.061481421,42.304342556,43869,Honeylocust,Gleditsia triacanthos,1,12-18in,12.9,--,Boston,Dorchester,Ronan Park,-71.06148,42.30434,461
-71.161362287,42.355572297,43870,"Hackberry, Northern",Celtis occidentalis,1,0-3in,2,Fall 2023,Boston,Allston-Brighton,Hobart Park,-71.16136,42.35557,462
-71.161440071,42.355563377,43871,Ginkgo,Ginkgo biloba,1,0-3in,2,Fall 2023,Boston,Allston-Brighton,Hobart Park,-71.16144,42.35556,463
-71.161099431,42.35565158,43872,Yellowwood,Cladrastis kentukea,1,0-3in,2,Fall 2023,Boston,Allston-Brighton,Hobart Park,-71.1611,42.35565,464
-71.161102113,42.355600046,43873,Yellowwood,Cladrastis kentukea,1,0-3in,2,Fall 2023,Boston,Allston-Brighton,Hobart Park,-71.1611,42.3556,465
-71.032583062,42.337026636,43876,"Maple, Red",Acer rubrum,1,6-12in,6,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03259,42.33703,466
-71.032680963,42.337023662,43877,"Oak, Northern Red",Quercus rubra,1,6-12in,6,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03268,42.33702,467
-71.032947843,42.335857836,43878,"Planetree, London",Platanus x acerifolia,1,12-18in,17,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03295,42.33586,468
-71.033071224,42.335848914,43879,"Planetree, London",Platanus x acerifolia,1,3-6in,5,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03307,42.33585,469
-71.032068078,42.335870724,43880,"Planetree, London",Platanus x acerifolia,1,18-24in,18,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03207,42.33587,470
-71.031959449,42.335872707,43881,"Planetree, London",Platanus x acerifolia,1,12-18in,17,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03196,42.33587,471
-71.031582598,42.335871715,43882,"Planetree, London",Platanus x acerifolia,1,3-6in,4,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03159,42.33587,472
-71.031680499,42.335866759,43883,"Planetree, London",Platanus x acerifolia,1,3-6in,4,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03168,42.33587,473
-71.031783764,42.335862793,43884,"Planetree, London",Platanus x acerifolia,1,3-6in,5,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03178,42.33586,474
-71.031828021,42.33596292,43885,Empty Pit/Planting Site,Empty Pit/Planting Site,1,,0,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03183,42.33596,475
-71.031861548,42.335871715,43886,Empty Pit/Planting Site,Empty Pit/Planting Site,1,,0,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03186,42.33587,476
-71.031763648,42.336018436,43887,"Linden, Littleleaf",Tilia cordata,1,3-6in,3,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03176,42.33602,477
-71.032391284,42.336252395,43888,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,18-24in,21,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03239,42.33625,478
-71.032557581,42.336844229,43889,"Maple, Red",Acer rubrum,1,6-12in,7,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03255,42.33685,479
-71.032511984,42.336828368,43890,"Maple, Red",Acer rubrum,1,6-12in,7,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03251,42.33683,480
-71.032463704,42.336817463,43891,"Maple, Red",Acer rubrum,1,6-12in,6,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03246,42.33682,481
-71.032407378,42.336816472,43892,"Maple, Red",Acer rubrum,1,3-6in,5,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03241,42.33681,482
-71.032326911,42.336821428,43893,"Maple, Red",Acer rubrum,1,3-6in,5,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03233,42.33682,483
-71.032278632,42.336824402,43894,"Maple, Red",Acer rubrum,1,3-6in,5,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03228,42.33682,484
-71.032230352,42.336838281,43895,"Maple, Red",Acer rubrum,1,6-12in,6,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03223,42.33684,485
-71.032297407,42.336711389,43896,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,South Boston,Medal of Honor (M Street Park),-71.0323,42.33671,486
-71.032343005,42.336731216,43897,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03234,42.33673,487
-71.032430176,42.336706433,43898,"Oak, Northern Red",Quercus rubra,1,3-6in,3,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03243,42.33671,488
-71.03238592,42.336727251,43899,"Oak, Northern Red",Quercus rubra,1,3-6in,3,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03239,42.33673,489
-71.032579039,42.336517086,43900,"Oak, sessile",Quercus petraea,1,0-3in,1,Spring 2023,Boston,South Boston,Medal of Honor (M Street Park),-71.03258,42.33652,490
-71.03258038,42.336606307,43901,"Oak, sessile",Quercus petraea,1,0-3in,1,Spring 2023,Boston,South Boston,Medal of Honor (M Street Park),-71.03258,42.33661,491
-71.07400341,42.35289344,43902,"Pagodatree, Japanese",Styphnolobium japonicum,1,6-12in,10,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.07401,42.35289,492
-71.074036938,42.352960834,43903,"Pagodatree, Japanese",Styphnolobium japonicum,1,12-18in,16,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.07404,42.35296,493
-71.07409997,42.352863708,43904,"Pagodatree, Japanese",Styphnolobium japonicum,1,6-12in,10,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0741,42.35286,494
-71.074093264,42.35304805,43905,"Pagodatree, Japanese",Styphnolobium japonicum,1,12-18in,16,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0741,42.35305,495
-71.07412411,42.353111479,43906,"Oak, Northern Red",Quercus rubra,1,6-12in,10,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.07413,42.35311,496
-71.062355582,42.305026994,43907,Cherry/Plum,Prunus species,2,6-12in,6,--,Boston,Dorchester,Ronan Park,-71.06236,42.30503,497
-71.063299385,42.303932927,43908,"Sweetgum, Common",Liquidambar styraciflua,1,0-3in,2,Fall 2023,Boston,Dorchester,Ronan Park,-71.0633,42.30393,498
-71.06335437,42.303992439,43909,"Sweetgum, Common",Liquidambar styraciflua,1,0-3in,2,Fall 2023,Boston,Dorchester,Ronan Park,-71.06335,42.30399,499
-71.063363758,42.304125348,43910,"Oak, Pin",Quercus palustris,1,0-3in,2,Fall 2023,Boston,Dorchester,Ronan Park,-71.06336,42.30413,500
-71.063817051,42.304326695,43911,"Planetree, London",Platanus x acerifolia,1,0-3in,2,Fall 2023,Boston,Dorchester,Ronan Park,-71.06382,42.30433,501
-71.063894835,42.304478448,43912,"Planetree, London",Platanus x acerifolia,1,0-3in,2,Fall 2023,Boston,Dorchester,Ronan Park,-71.0639,42.30448,502
-71.102949139,42.282820611,43913,"Planetree, London",Platanus x acerifolia,1,0-3in,2,Fall 2023,Boston,Roslindale,Mt. Hope Cemetery,-71.10295,42.28282,503
-71.10284051,42.282788861,43914,"Planetree, London",Platanus x acerifolia,1,0-3in,2,Fall 2023,Boston,Roslindale,Mt. Hope Cemetery,-71.10284,42.28279,504
-71.103266981,42.282604312,43915,Yellowwood,Cladrastis kentukea,1,0-3in,2,Fall 2023,Boston,Roslindale,Mt. Hope Cemetery,-71.10326,42.2826,505
-71.103407797,42.282601336,43916,Yellowwood,Cladrastis kentukea,1,0-3in,2,Fall 2023,Boston,Roslindale,Mt. Hope Cemetery,-71.10341,42.2826,506
-71.10325357,42.283440728,43917,"Sweetgum, Common",Liquidambar styraciflua,1,0-3in,2,Fall 2023,Boston,Roslindale,Mt. Hope Cemetery,-71.10326,42.28344,507
-71.103366223,42.283538955,43918,"Sweetgum, Common",Liquidambar styraciflua,1,0-3in,2,Fall 2023,Boston,Roslindale,Mt. Hope Cemetery,-71.10336,42.28354,508
-71.153837685,42.347615229,43919,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,8,--,Boston,Allston-Brighton,Brighton Common,-71.15384,42.34761,509
-71.153814886,42.347559723,43920,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,9,--,Boston,Allston-Brighton,Brighton Common,-71.15382,42.34756,510
-71.153656636,42.347603335,43921,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,8,--,Boston,Allston-Brighton,Brighton Common,-71.15366,42.3476,511
-71.153691505,42.347547829,43922,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,11,--,Boston,Allston-Brighton,Brighton Common,-71.15369,42.34755,512
-71.153605674,42.347693531,43923,"Planetree, London",Platanus x acerifolia,1,18-24in,22,--,Boston,Allston-Brighton,Brighton Common,-71.1536,42.34769,513
-71.15355203,42.347779763,43924,"Planetree, London",Platanus x acerifolia,1,18-24in,21,--,Boston,Allston-Brighton,Brighton Common,-71.15355,42.34778,514
-71.153778677,42.347669743,43925,Cherry/Plum,Prunus species,1,6-12in,8,--,Boston,Allston-Brighton,Brighton Common,-71.15378,42.34767,515
-71.153687482,42.347659831,43926,Cherry/Plum,Prunus species,1,6-12in,7,--,Boston,Allston-Brighton,Brighton Common,-71.15369,42.34766,516
-71.075599096,42.340655149,43927,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,11,--,Boston,South End,O'Day Playground,-71.0756,42.34066,517
-71.075452916,42.340687861,43928,"Honeylocust, Thornless",Gleditsia triacanthos inermis,0,12-18in,13,--,Boston,South End,O'Day Playground,-71.07545,42.34069,518
-71.075486443,42.340698765,43929,"Cherry, Japanese Flowering",Prunus serrulata,0,6-12in,8,--,Boston,South End,O'Day Playground,-71.07549,42.3407,519
-71.075473032,42.340764189,43930,"Honeylocust, Thornless",Gleditsia triacanthos inermis,0,12-18in,15,--,Boston,South End,O'Day Playground,-71.07547,42.34076,520
-71.075301371,42.340847457,43931,"Honeylocust, Thornless",Gleditsia triacanthos inermis,0,12-18in,14,--,Boston,South End,O'Day Playground,-71.0753,42.34085,521
-71.075228951,42.340888099,43932,"Honeylocust, Thornless",Gleditsia triacanthos inermis,0,6-12in,11,--,Boston,South End,O'Day Playground,-71.07523,42.34089,522
-71.075279913,42.340960463,43933,"Maple, Norway",Acer platanoides,0,24-30in,25,--,Boston,South End,O'Day Playground,-71.07528,42.34096,523
-71.075557522,42.340897021,43934,"Honeylocust, Thornless",Gleditsia triacanthos inermis,0,12-18in,13,--,Boston,South End,O'Day Playground,-71.07555,42.3409,524
-71.031453852,42.336092788,43935,"Basswood, American",Tilia americana,1,24-30in,27,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03146,42.33609,525
-71.031849478,42.33652006,43936,"Redbud, Eastern",Cercis canadensis,1,3-6in,4,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03185,42.33652,526
-71.032456999,42.337065298,43937,"Maple, Silver",Acer saccharinum,1,24-30in,27,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03246,42.33707,527
-71.032234375,42.337027627,43938,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03223,42.33703,528
-71.032250468,42.336997887,43939,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03225,42.337,529
-71.032293384,42.336987974,43940,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,South Boston,Medal of Honor (M Street Park),-71.0323,42.33699,530
-71.032001023,42.336604324,43941,Magnolia,Magnolia species,1,3-6in,3,--,Boston,South Boston,Medal of Honor (M Street Park),-71.032,42.33661,531
-71.031891052,42.336608289,43942,Magnolia,Magnolia species,3,6-12in,6,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03189,42.33661,532
-71.032705103,42.336595402,43943,Magnolia,Magnolia species,3,6-12in,6,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03271,42.33659,533
-71.032898222,42.336581523,43944,"Redbud, Eastern",Cercis canadensis,1,3-6in,4,--,Boston,South Boston,Medal of Honor (M Street Park),-71.0329,42.33658,534
-71.033036356,42.336511138,43945,"Maple, Red",Acer rubrum,1,6-12in,7,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03304,42.33651,535
-71.032822114,42.336511083,43946,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0,--,Boston,South Boston,Medal of Honor (M Street Park),-71.03282,42.33651,536
-71.030139502,42.382176997,43949,Cherry/Plum,Prunus species,1,6-12in,6,--,Boston,East Boston,American Legion Playground,-71.03014,42.38218,537
-71.030155596,42.382377104,43950,Cherry/Plum,Prunus species,1,6-12in,10,--,Boston,East Boston,American Legion Playground,-71.03016,42.38238,538
-71.03014889,42.382479138,43951,Cherry/Plum,Prunus species,1,6-12in,8,--,Boston,East Boston,American Legion Playground,-71.03015,42.38248,539
-71.030064401,42.382507866,43952,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,8,--,Boston,East Boston,American Legion Playground,-71.03007,42.38251,540
-71.029936996,42.382508856,43953,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,8,--,Boston,East Boston,American Legion Playground,-71.02994,42.38251,541
-71.029812273,42.382505885,43954,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,8,--,Boston,East Boston,American Legion Playground,-71.02982,42.38251,542
-71.030134206,42.382054969,43955,"Oak, Pin",Quercus palustris,1,24-30in,26,--,Boston,East Boston,American Legion Playground,-71.03014,42.38205,543
-71.030131523,42.3819777,43956,"Oak, Pin",Quercus palustris,1,18-24in,19,--,Boston,East Boston,American Legion Playground,-71.03013,42.38198,544
-71.030132864,42.381917271,43957,"Oak, Pin",Quercus palustris,1,12-18in,13,--,Boston,East Boston,American Legion Playground,-71.03014,42.38192,545
-71.030134206,42.381846937,43958,"Oak, Pin",Quercus palustris,1,12-18in,17,--,Boston,East Boston,American Legion Playground,-71.03014,42.38185,546
-71.030135547,42.381759761,43959,"Oak, Pin",Quercus palustris,1,12-18in,15,--,Boston,East Boston,American Legion Playground,-71.03014,42.38176,547
-71.030135547,42.381706267,43960,"Oak, Pin",Quercus palustris,1,12-18in,14,--,Boston,East Boston,American Legion Playground,-71.03014,42.38171,548
-71.030132864,42.38163395,43961,"Oak, Pin",Quercus palustris,1,18-24in,18,--,Boston,East Boston,American Legion Playground,-71.03014,42.38163,549
-71.030155663,42.381547765,43962,Cherry/Plum,Prunus species,1,6-12in,6,--,Boston,East Boston,American Legion Playground,-71.03016,42.38155,550
-71.030155663,42.38152498,43963,Cherry/Plum,Prunus species,1,6-12in,6,--,Boston,East Boston,American Legion Playground,-71.03016,42.38152,551
-71.030155663,42.381502196,43964,Cherry/Plum,Prunus species,1,6-12in,6,--,Boston,East Boston,American Legion Playground,-71.03016,42.3815,552
-71.02989683,42.381452664,43965,"Oak, Pin",Quercus palustris,1,12-18in,16,--,Boston,East Boston,American Legion Playground,-71.0299,42.38145,553
-71.030147617,42.381437804,43966,"Zelkova, Japanese",Zelkova serrata,1,18-24in,18,--,Boston,East Boston,American Legion Playground,-71.03015,42.38144,554
-71.029109602,42.381433842,43967,"Pine, Austrian",Pinus nigra,1,18-24in,22,--,Boston,East Boston,American Legion Playground,-71.02911,42.38144,555
-71.029151176,42.381469505,43968,"Pine, Austrian",Pinus nigra,1,12-18in,16,--,Boston,East Boston,American Legion Playground,-71.02915,42.38147,556
-71.029251759,42.381469505,43969,"Pine, Austrian",Pinus nigra,1,18-24in,19,--,Boston,East Boston,American Legion Playground,-71.02925,42.38147,557
-71.029338931,42.381469505,43970,"Pine, Austrian",Pinus nigra,1,18-24in,19,--,Boston,East Boston,American Legion Playground,-71.02934,42.38147,558
-71.029395257,42.381443748,43971,"Pine, Austrian",Pinus nigra,1,18-24in,19,--,Boston,East Boston,American Legion Playground,-71.0294,42.38144,559
-71.02938721,42.381479411,43972,Serviceberry,Amelanchier species,5,6-12in,10,--,Boston,East Boston,American Legion Playground,-71.02939,42.38148,560
