,Number,Name,Latitude,Longitude,Public,Total docks,roundtrip_ratio,trips,log_trips
25,B32031,Bowdoin St at Quincy St,42.30785224,-71.06512249,Yes,15,0.07526020816653323,14988,4.17574368442176
26,D32007,Boylston St at Arlington St,42.35206005,-71.07046366,Yes,31,0.052731008559659565,205382,5.312562378680809
27,D32013,Boylston St at Berkeley St,42.35114198,-71.07329249,Yes,15,0.017166708784649303,114757,5.05977918631084
28,D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Yes,19,0.035852256065686636,156866,5.1955288224110125
29,C32008,Boylston St at Fairfield St,42.34880382,-71.08236909,Yes,19,0.025110659269858004,239022,5.378437876006226
30,B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Yes,15,0.033105516624852206,242739,5.385139558466583
31,B32018,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,Yes,15,0.025337086472739374,294509,5.469098571077666
32,A32032,Bremen St at Marion St,42.37410622,-71.03276253,Yes,11,0.18365384615384617,2080,3.3180633349627615
33,B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Yes,15,0.014975016326716583,131686,5.11953960604808
34,D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Yes,16,0.04075780520024487,62074,4.79290973188379
35,A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Yes,15,0.07061620269002189,79925,4.9026826449437255
36,C32053,Broadway T Stop,42.34304858,-71.0580343,Yes,19,0.02499752008729293,30243,4.480624869462199
37,A32023,Bunker Hill Community College,42.37408991,-71.06905997,Yes,23,0.017494765268781434,51101,4.7084293989650945
38,B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Yes,15,0.016721704822331887,80853,4.907696138766528
39,D32000,Cambridge St at Joy St,42.36125722,-71.06528744,Yes,15,0.020520645910674835,263442,5.420685014794904
40,C23109,Cedar Grove T Stop,42.2796076,-71.0602212,Yes,18,0.4166666666666667,48,1.6812412373755872
41,A32041,Central Square East Boston,42.37544913,-71.03918549,Yes,15,0.07883817427385892,23618,4.3732431182673634
42,C32086,Centre St at Parkway YMCA,42.28277901,-71.15728851,Yes,17,0.19837691614066727,2218,3.3459615418131414
43,C32085,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,Yes,19,0.10590500641848524,3116,3.493597449000527
44,D32016,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,Yes,19,0.04852083844310699,424024,5.627390438603545
