OBJECTID,Name,Avg. Lat,Avg. Long,NUM STATIONS,Station 1,Station 1 Dist ,Station 2,Station 2 Dist ,Station 3,Station 3 Dist ,Station 4,Station 4 Dist ,Station 5,Station 5 Dist ,Station 6,Station 6 Dist ,Station 7,Station 7 Dist ,Station 8,Station 8 Dist ,Station 9,Station 9 Dist ,Station 10,Station 10 Dist 
14,Zinnekens,42.3493844,-71.102356,10,NOODLE STREET RESTAURANT,0.07507137981477376,Saxbys - 1st Floor,0.0795199531667327,The Juicery,0.13718165035242008,B.U. WARREN TOWER CAFE,0.14060881499260985,Starbucks,0.14060881499260985,Fresh Fuel at Granby Commons,0.1612120211802892,Basho Express,0.19685159069788696,B. U. Einsteins Bagels,0.19881534426921674,B.U. SCHOOL OF MANAGEMENT,0.21289364763879773,BREADWINNERS/STARBUCK'S,0.21289364763879773
15,Zinnekens,42.3493844,-71.102356,10,NOODLE STREET RESTAURANT,0.07507137981477376,Saxbys - 1st Floor,0.0795199531667327,The Juicery,0.13718165035242008,B.U. WARREN TOWER CAFE,0.14060881499260985,Starbucks,0.14060881499260985,Fresh Fuel at Granby Commons,0.1612120211802892,Basho Express,0.19685159069788696,B. U. Einsteins Bagels,0.19881534426921674,B.U. SCHOOL OF MANAGEMENT,0.21289364763879773,BREADWINNERS/STARBUCK'S,0.21289364763879773
16,Zaaki,42.3493844,-71.102356,10,NOODLE STREET RESTAURANT,0.07507137981477376,Saxbys - 1st Floor,0.0795199531667327,The Juicery,0.13718165035242008,B.U. WARREN TOWER CAFE,0.14060881499260985,Starbucks,0.14060881499260985,Fresh Fuel at Granby Commons,0.1612120211802892,Basho Express,0.19685159069788696,B. U. Einsteins Bagels,0.19881534426921674,B.U. SCHOOL OF MANAGEMENT,0.21289364763879773,BREADWINNERS/STARBUCK'S,0.21289364763879773
17,Zaaki,42.3493844,-71.102356,10,NOODLE STREET RESTAURANT,0.07507137981477376,Saxbys - 1st Floor,0.0795199531667327,The Juicery,0.13718165035242008,B.U. WARREN TOWER CAFE,0.14060881499260985,Starbucks,0.14060881499260985,Fresh Fuel at Granby Commons,0.1612120211802892,Basho Express,0.19685159069788696,B. U. Einsteins Bagels,0.19881534426921674,B.U. SCHOOL OF MANAGEMENT,0.21289364763879773,BREADWINNERS/STARBUCK'S,0.21289364763879773
18,Tacos Calleteco,42.3528306,-71.045234,10,Strega Waterfront,0.04510809920834302,Tuscan Kitchen,0.057576030922795056,Caffe Nero,0.09143263952750086,Committee,0.10643580688489745,Starbucks Coffee #22566,0.10643580688489745,Kokoda,0.10707946599555296,Hook + Line,0.1159117100408884,MM Boston Coffee Bar-17th Floor,0.1159117100408884,MassMutual,0.1159117100408884,Honeygrow,0.1346552755734891
19,Indian Street Food Cravings,42.3528306,-71.045234,10,Strega Waterfront,0.04510809920834302,Tuscan Kitchen,0.057576030922795056,Caffe Nero,0.09143263952750086,Committee,0.10643580688489745,Starbucks Coffee #22566,0.10643580688489745,Kokoda,0.10707946599555296,Hook + Line,0.1159117100408884,MM Boston Coffee Bar-17th Floor,0.1159117100408884,MassMutual,0.1159117100408884,Honeygrow,0.1346552755734891
20,Tacos Calleteco,42.3442968,-71.052403,4,State Street Channel Center Cafe,0.05414223910385185,Vester,0.14850328120892584,Squeeze Juice Company,0.18534197250533482,Lenox Sophia,0.27212994748967534,Dunkin Donuts (48 W Broadway),0.34724573362730493,AMRHEIN'S,0.35228768070280664,Gillette Cafeteria,0.3567229355417933,Teriyaki House,0.3706910227333422,WORDEN HALL,0.38083688695972956,Fox & The Knife,0.3814616310243048
21,Zaaki,42.3640521,-71.068371,10,Mass Gen. Hosp./Tea Leaves & Coffee Beans,0.10053898732655428,Mass General Hospital Cafe,0.10053898732655428,BIG DADDY HOT DOGS,0.171889729317495,SHRINERS' HOSP. FOR CHILDREN,0.19157673321468183,MASS EYE AND EAR INFIRMARY,0.20248012800817777,Massachusetts Eye & Ear Infirmary Eye Opener Cafe,0.2138567400837563,RIVERSIDE CAFE-LEV1,0.2618434541551141,"YAWKEY CENTER ""COFFEE SOUTH""",0.2618434541551141,Scampo,0.27516105938687396,Alibi,0.2781612240635893
22,Bibim Box,42.3640521,-71.068371,10,Mass Gen. Hosp./Tea Leaves & Coffee Beans,0.10053898732655428,Mass General Hospital Cafe,0.10053898732655428,BIG DADDY HOT DOGS,0.171889729317495,SHRINERS' HOSP. FOR CHILDREN,0.19157673321468183,MASS EYE AND EAR INFIRMARY,0.20248012800817777,Massachusetts Eye & Ear Infirmary Eye Opener Cafe,0.2138567400837563,RIVERSIDE CAFE-LEV1,0.2618434541551141,"YAWKEY CENTER ""COFFEE SOUTH""",0.2618434541551141,Scampo,0.27516105938687396,Alibi,0.2781612240635893
23,Bibim Box,42.3640521,-71.068371,10,Mass Gen. Hosp./Tea Leaves & Coffee Beans,0.10053898732655428,Mass General Hospital Cafe,0.10053898732655428,BIG DADDY HOT DOGS,0.171889729317495,SHRINERS' HOSP. FOR CHILDREN,0.19157673321468183,MASS EYE AND EAR INFIRMARY,0.20248012800817777,Massachusetts Eye & Ear Infirmary Eye Opener Cafe,0.2138567400837563,RIVERSIDE CAFE-LEV1,0.2618434541551141,"YAWKEY CENTER ""COFFEE SOUTH""",0.2618434541551141,Scampo,0.27516105938687396,Alibi,0.2781612240635893
24,Chicken and RIce Guys,42.3640521,-71.068371,10,Mass Gen. Hosp./Tea Leaves & Coffee Beans,0.10053898732655428,Mass General Hospital Cafe,0.10053898732655428,BIG DADDY HOT DOGS,0.171889729317495,SHRINERS' HOSP. FOR CHILDREN,0.19157673321468183,MASS EYE AND EAR INFIRMARY,0.20248012800817777,Massachusetts Eye & Ear Infirmary Eye Opener Cafe,0.2138567400837563,RIVERSIDE CAFE-LEV1,0.2618434541551141,"YAWKEY CENTER ""COFFEE SOUTH""",0.2618434541551141,Scampo,0.27516105938687396,Alibi,0.2781612240635893
25,Bon Me,42.3640521,-71.068371,10,Mass Gen. Hosp./Tea Leaves & Coffee Beans,0.10053898732655428,Mass General Hospital Cafe,0.10053898732655428,BIG DADDY HOT DOGS,0.171889729317495,SHRINERS' HOSP. FOR CHILDREN,0.19157673321468183,MASS EYE AND EAR INFIRMARY,0.20248012800817777,Massachusetts Eye & Ear Infirmary Eye Opener Cafe,0.2138567400837563,RIVERSIDE CAFE-LEV1,0.2618434541551141,"YAWKEY CENTER ""COFFEE SOUTH""",0.2618434541551141,Scampo,0.27516105938687396,Alibi,0.2781612240635893
26,Lourdya Gourmet,42.3640521,-71.068371,10,Mass Gen. Hosp./Tea Leaves & Coffee Beans,0.10053898732655428,Mass General Hospital Cafe,0.10053898732655428,BIG DADDY HOT DOGS,0.171889729317495,SHRINERS' HOSP. FOR CHILDREN,0.19157673321468183,MASS EYE AND EAR INFIRMARY,0.20248012800817777,Massachusetts Eye & Ear Infirmary Eye Opener Cafe,0.2138567400837563,RIVERSIDE CAFE-LEV1,0.2618434541551141,"YAWKEY CENTER ""COFFEE SOUTH""",0.2618434541551141,Scampo,0.27516105938687396,Alibi,0.2781612240635893
27,Hungry Nomads,42.3640521,-71.068371,10,Mass Gen. Hosp./Tea Leaves & Coffee Beans,0.10053898732655428,Mass General Hospital Cafe,0.10053898732655428,BIG DADDY HOT DOGS,0.171889729317495,SHRINERS' HOSP. FOR CHILDREN,0.19157673321468183,MASS EYE AND EAR INFIRMARY,0.20248012800817777,Massachusetts Eye & Ear Infirmary Eye Opener Cafe,0.2138567400837563,RIVERSIDE CAFE-LEV1,0.2618434541551141,"YAWKEY CENTER ""COFFEE SOUTH""",0.2618434541551141,Scampo,0.27516105938687396,Alibi,0.2781612240635893
28,Indian Street Cravings,42.3640521,-71.068371,10,Mass Gen. Hosp./Tea Leaves & Coffee Beans,0.10053898732655428,Mass General Hospital Cafe,0.10053898732655428,BIG DADDY HOT DOGS,0.171889729317495,SHRINERS' HOSP. FOR CHILDREN,0.19157673321468183,MASS EYE AND EAR INFIRMARY,0.20248012800817777,Massachusetts Eye & Ear Infirmary Eye Opener Cafe,0.2138567400837563,RIVERSIDE CAFE-LEV1,0.2618434541551141,"YAWKEY CENTER ""COFFEE SOUTH""",0.2618434541551141,Scampo,0.27516105938687396,Alibi,0.2781612240635893
29,Indian Street Cravings,42.3640521,-71.068371,10,Mass Gen. Hosp./Tea Leaves & Coffee Beans,0.10053898732655428,Mass General Hospital Cafe,0.10053898732655428,BIG DADDY HOT DOGS,0.171889729317495,SHRINERS' HOSP. FOR CHILDREN,0.19157673321468183,MASS EYE AND EAR INFIRMARY,0.20248012800817777,Massachusetts Eye & Ear Infirmary Eye Opener Cafe,0.2138567400837563,RIVERSIDE CAFE-LEV1,0.2618434541551141,"YAWKEY CENTER ""COFFEE SOUTH""",0.2618434541551141,Scampo,0.27516105938687396,Alibi,0.2781612240635893
