SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist
57,St Francis De Sales Cemetery,42.38161693450007,-71.06570777899998,0.0,11138.0,11604.0,11145.0,11137.0,11146.0,11711.0,11842.0,11709.0,11840.0,11838.0,2.3072485997283043e-06,0.00980638316210967,0.013620557510798981,0.015368075083709368,0.01643154020617494,0.019222410057187278,0.019589918817127457,0.019651951113146465,0.019742725804586456,0.019776558033446592
58,Bunker Hill Monument,42.37631527350004,-71.06078793849997,10.0,13609.0,13616.0,13615.0,13614.0,13613.0,13612.0,13611.0,13610.0,13608.0,13607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Phipps Street Burying Ground,42.376262739000055,-71.06765486499998,0.0,12287.0,12174.0,12175.0,12359.0,12168.0,12358.0,12170.0,12169.0,12176.0,12360.0,0.0024274749857270787,0.00691519621567771,0.007284062369403259,0.008129253327433868,0.009834437874704467,0.010414469532039184,0.012831522694823043,0.022355547666427694,0.027953888548085858,0.030251590293154242
60,Winthrop Square,42.374347930000056,-71.06014700249997,8.0,13784.0,13471.0,13470.0,13472.0,13781.0,13785.0,13787.0,13786.0,13790.0,13789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002414838705427043,0.002519804748299658
61,Hayes Square,42.37684996200005,-71.05680850649995,9.0,13091.0,13093.0,13092.0,13090.0,13089.0,13088.0,13087.0,13085.0,13086.0,13123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003949712140077444
62,Charlestown Sprouts Garden,42.38188956850007,-71.05825412899998,0.0,11546.0,11547.0,11545.0,11548.0,11542.0,11570.0,11571.0,11569.0,11560.0,11549.0,0.013678662463569883,0.016679134015352842,0.020590495313409115,0.02824842092253955,0.053781772558420426,0.05748385379200982,0.0828891259677298,0.08750772167467115,0.08920721770348529,0.0937599442985123
63,East Boston Memorial Park I,42.37177714000006,-71.03049470049996,10.0,23325.0,23373.0,23322.0,23326.0,23367.0,23366.0,23365.0,23180.0,23148.0,23364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Noyes Playground,42.38778300300004,-71.01026262199994,10.0,20540.0,20413.0,20414.0,20415.0,20416.0,20417.0,20418.0,20419.0,20541.0,20410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Temple Ohabei Shalom Cemetery,42.382425455500055,-71.01493432199996,0.0,68212.0,68213.0,20973.0,68214.0,68211.0,68210.0,68242.0,23798.0,20964.0,68209.0,0.0009156167159887512,0.0013323410538789364,0.0018725984385266673,0.01295948134310689,0.013721715887907895,0.014141608170574922,0.01958181353851815,0.02632086174867034,0.03380056413685892,0.035873651863833705
66,Cuneo Park,42.38369560400005,-71.01675952899998,0.0,23819.0,68205.0,20974.0,23814.0,23816.0,23813.0,23906.0,20956.0,23805.0,23806.0,0.001612365856969001,0.012747534814894143,0.013262927537381404,0.02123724408484292,0.024862492791571208,0.02515991256282571,0.027123716878410156,0.02945590236509379,0.040749473912134467,0.04302376597395553
67,Bennington Street Cemetery,42.38096238250003,-71.02100471149998,0.0,68226.0,68225.0,23747.0,22516.0,22529.0,22536.0,23743.0,22546.0,23741.0,23733.0,0.0006265914296030693,0.0008061869612041819,0.0017904538754173168,0.002904665865492214,0.005142025947189182,0.005248455131889284,0.005259786331134825,0.005363264772762455,0.012393212233776832,0.012530337049066156
68,American Legion Playground,42.38196225000007,-71.02945586349995,8.0,22441.0,22442.0,22443.0,22444.0,22445.0,22446.0,22448.0,22447.0,22440.0,22439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009375669540266163,0.0011295129989618605
69,Prescott Square,42.38113743450003,-71.03088494449997,0.0,68325.0,22355.0,22354.0,22348.0,22374.0,22353.0,22346.0,68324.0,68326.0,22352.0,0.0015733382310361462,0.0023636472075360673,0.00239297988541793,0.0025402930339526006,0.0028582034274183374,0.013381428086589535,0.014004374231398452,0.014129988418577539,0.014324534577317685,0.016651182458579033
70,Putnam Square,42.38033245350008,-71.03296660799998,0.0,22287.0,22291.0,22289.0,22280.0,22266.0,22270.0,22271.0,22267.0,22286.0,22288.0,0.001085082276239905,0.0012354070267700142,0.0013258734779347525,0.0016905931201943128,0.0023350330251472743,0.0025455008395320325,0.00256270542174301,0.0028085647332805,0.012471936794891912,0.012478116944903457
71,Paris Street Playground,42.37224943250004,-71.03703687249998,10.0,21616.0,68293.0,68294.0,68295.0,21517.0,21516.0,21515.0,21518.0,21514.0,21519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Brophy Park,42.36570099350007,-71.03356372899998,6.0,22996.0,23002.0,23001.0,22995.0,22994.0,22991.0,22988.0,23012.0,73653.0,73652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01215878244861791,0.04128295170009157,0.048941176612049435,0.053761193635521655
73,Sumner & Lamson Street Playground,42.36595821550006,-71.03244333599994,0.0,22988.0,22991.0,22994.0,22995.0,22996.0,23001.0,23012.0,23002.0,23032.0,23030.0,0.016615198321468422,0.033484981984990995,0.05193463590706244,0.05965195799432201,0.07320347841249078,0.090566378082417,0.09248428020706084,0.09867677666493531,0.10922655400535294,0.11260489964439428
74,Condor Street Beach I,42.383108395500045,-71.02973534899996,0.0,22438.0,22439.0,22440.0,68275.0,22441.0,22442.0,22454.0,68274.0,22452.0,22436.0,0.014557086465642029,0.01457816836932658,0.014764687713633796,0.019236858654836844,0.024578090929132615,0.03158697424296311,0.03819463821125262,0.04396151695954282,0.05514647271123712,0.056834959867099376
75,East Boston Greenway,42.369364187500025,-71.03694722699996,10.0,21428.0,21481.0,21480.0,21149.0,21148.0,21147.0,21146.0,68310.0,68318.0,68319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Symphony Community Park,42.34475255700005,-71.08762613299996,9.0,9873.0,9921.0,9888.0,9887.0,9886.0,9885.0,9863.0,9861.0,9872.0,9862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004037034297096163
77,Edgerly Road Playground,42.34627961850006,-71.08795845399996,0.0,9793.0,71370.0,9806.0,9804.0,9801.0,71377.0,9805.0,9803.0,9802.0,9839.0,0.00028286654982012606,0.0008108220228488404,0.0008438224120010304,0.0019708529940502145,0.0019858980326029453,0.005527526553150238,0.009467313397036926,0.011073752157789517,0.011110092122485198,0.014015403845415041
78,Commonwealth Avenue Mall II,42.34900156300006,-71.09391703849997,10.0,10164.0,10161.0,10165.0,10163.0,10170.0,10169.0,10243.0,10229.0,10245.0,10166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Stony Brook Sewer Easement,42.34111655150005,-71.09159709999997,8.0,36922.0,36907.0,36908.0,36913.0,36909.0,36912.0,36911.0,36910.0,36819.0,71453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026563495174047116,0.002935080095226528
80,Gallops Island,42.32680569700005,-70.93796322199998,0.0,37903.0,37902.0,37901.0,37900.0,37904.0,37898.0,37897.0,37899.0,38009.0,37982.0,0.8081372759830134,0.8212193551453546,0.8373796408562743,0.8485331730561539,0.853353867582346,0.8589146426232194,0.8595493323668875,0.8712164637110971,1.5417988677891492,1.6961556273761031
