,SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist,Weighted Roundtrip Ratio,Daily Roundtrips
158,159,Buckley Playground,42.33934715750004,-71.04912424699995,2,C32029,C32016,C32024,C32028,C32091,C32053,C32009,C32017,D32018,C32052,0.1548808030942863,0.4002060698206742,0.5590558260375623,0.7176752024467506,0.7753449506585935,0.7965906365082892,0.8133672144217373,0.8972803739600845,0.9548322038034864,0.9834691006482642,0.03205146698208458,2.678722121760091
159,160,Ronan Park,42.304354493000034,-71.06263071199996,2,B32031,C32041,C32108,B32029,C32033,E32009,C32111,C32037,C32066,B32028,0.2778716811987167,0.4153965543541976,0.5394415763550917,0.8379821898539921,0.8886716359329239,1.150864079347112,1.1583398356053012,1.230640280519681,1.2593657125255762,1.388573955263219,0.10292000442984234,0.8402652200120552
160,161,Mt. Bowdoin Green,42.30247211900004,-71.07611388049995,2,C32111,C32037,B32028,C32030,B32029,B32031,C32110,C32043,C32041,E32009,0.1568878747105928,0.2853246267541052,0.689921672306658,0.7374026875136868,0.8035928892437049,1.061756889429338,1.116309415442673,1.2456758033891626,1.2780686490037396,1.3301895151746597,0.09107768390686173,0.13321277878239904
161,162,Byrne Playground,42.30091764800005,-71.05240549899995,1,C32108,C32041,C32033,B32031,C32066,E32009,C32014,C32062,B32029,C32038,0.299125074352114,0.6417077318300097,1.0361413291007868,1.2698684791175363,1.2725464129227253,1.3604041043796913,1.7752186880520646,1.902227878453581,1.9084774000708769,1.9305393253368923,0.0808080808080808,0.0024110910186859553
162,163,Doherty/Gibson Playground,42.29728354000005,-71.06185766649998,2,C32041,E32009,C32066,C32108,C32038,B32031,C32062,C32055,C32110,C32111,0.1563745822108684,0.4611752356259885,0.5082481030326645,0.8236810630706655,1.0138282555191418,1.1105435487876452,1.1850585288887896,1.2203285771318608,1.3529476925364898,1.4013837255026724,0.12828282828282825,0.7655213984327905
163,164,Wellesley Park,42.29601162700004,-71.06577711399996,2,E32009,C32066,C32041,C32038,C32055,C32110,C32062,C32108,B32031,C32111,0.2787680992681132,0.4919685792393009,0.5434890920291632,0.7477458555891634,0.9946621306098082,1.0564555544938896,1.0900402531811035,1.2380182839893523,1.2516699718651572,1.2521713748809842,0.11245888157894732,0.32971669680530424
164,165,McMorrow Playground,42.29575340800005,-71.05107535349995,0,C32041,C32108,C32066,E32009,C32040,C32062,C32033,B32031,C32038,C32055,0.7738028509986297,0.7884863809649398,0.9550297421132468,1.1405399958006257,1.352677012315776,1.4960028840342598,1.54195670035188,1.6432214253029291,1.7082904956421192,1.808484345212279,0.0,0.0
165,166,Hemenway Playground,42.29139655850005,-71.05618519649997,1,C32066,E32009,C32062,C32040,C32041,C32038,C32055,C23109,C32108,C32110,0.4380028072336919,0.7128931269858393,0.8378087362934342,0.8646242404459282,0.9236848772324552,1.209315319484819,1.237573867862462,1.2641933868982442,1.2852042644720532,1.7091560324595496,0.1054706752094628,0.0644966847498493
166,167,Rev. Loesch Family Park,42.29066793950005,-71.06650416499997,4,E32009,C32066,C32038,C32055,C32062,C32110,C32041,C32040,C23109,C32111,0.1895399996031241,0.292875353969377,0.3848340071942047,0.4680151387841828,0.5362415525349755,0.9001301545051243,1.0335972519916092,1.2330615666175797,1.2823943856929634,1.639971662712931,0.11551106531233128,0.7094635322483421
167,168,Codman Burying Ground,42.28937895000007,-71.07470859849997,3,C32038,C32055,C32110,E32009,C32062,C32066,C32043,C32103,C32092,C32111,0.200260532785838,0.3021814354738266,0.3527458305058949,0.7705304267798655,0.889345904353635,0.9733987219838808,1.1002407291489211,1.196435410820213,1.3344192603913403,1.5141916776352244,0.11831352154531942,0.38396624472573826
168,169,Walsh Playground,42.27695911800004,-71.07079706499997,0,C32103,C23109,C32062,C32055,C32040,C32038,C32066,E32009,C32110,C32050,0.6903858475302209,0.8037155340312964,0.9817974227648828,1.0584510278690622,1.3623437686068791,1.3929560338494456,1.6456979786237305,1.7014688163650082,1.7181213283571126,1.7435419573148696,0.0,0.0
169,170,Dorchester South Burying Ground,42.27860808500006,-71.06708067249997,0,C23109,C32062,C32055,C32103,C32040,C32038,C32066,E32009,C32110,C32092,0.5022732133677036,0.7524052820211259,0.9992482560708208,1.022735764560851,1.0492660420673527,1.3276379501885878,1.433491504360053,1.5343778657240976,1.7266643650018625,2.0741556963546977,0.0,0.0
170,171,Dorchester Park,42.27707970850005,-71.06404367899995,1,C23109,C32040,C32062,C32103,C32055,C32066,C32038,E32009,C32110,C32050,0.0942765363905319,0.6788703364302373,0.738851991032873,1.1403069880369,1.1417830632490749,1.374316177700874,1.457873061771794,1.5473392428901345,1.911623206557603,2.1640576588784093,0.4166666666666667,0.006027727546714889
171,172,Gallivan/Hallet Circle,42.28441461750006,-71.04620058399996,0,C32040,C23109,C32062,C32066,E32009,C32041,C32055,C32038,C32108,C32110,0.6806288704453821,1.2350126830238113,1.457578829863159,1.5459497249231848,1.8394723765136096,2.0400639617730514,2.0533160107127864,2.185431426166496,2.212833782038349,2.7344907809871235,0.0,0.0
172,173,Toohig Playground,42.28416240800004,-71.04992707899996,1,C32040,C23109,C32062,C32066,E32009,C32055,C32041,C32038,C32108,C32110,0.3747845307174448,0.9457822504548574,1.1280262676243145,1.2700921891203214,1.5602603838672768,1.7250240689083989,1.8572193365401364,1.869400449330643,2.119944145746187,2.4204008893971785,0.4158212698050837,1.0994575045207955
173,174,Martin/Hilltop Playground,42.27961825600005,-71.05317375299998,1,C32040,C23109,C32062,C32066,C32055,E32009,C32038,C32103,C32041,C32110,0.3454864466898747,0.541009459107768,1.073826939458094,1.499870608939838,1.6574296711133425,1.7519075946806866,1.8889952956755516,2.1987851114066634,2.259407918767445,2.4259034103498465,0.4158212698050837,1.0994575045207955
174,175,10 Josephine Street Garden,42.30056386850004,-71.06547902749998,1,C32041,B32031,E32009,C32108,C32066,C32111,B32029,C32037,C32038,C32110,0.3968200701799118,0.7972721683784987,0.8368684850275742,0.9811418148834298,0.9995160122749124,1.0787276128637513,1.1603217760566884,1.1941617465002097,1.2379850042751042,1.3733550258535272,0.1371787455582183,0.5003013863773356
