SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist
1,Wilson Park,42.340991124000055,-71.14592892599995,1.0,112.0,33.0,60.0,66.0,37.0,16.0,80.0,79.0,35.0,75.0,0.41281465486420765,1.5025238340945373,2.7051439922621103,2.7754745854836917,2.7931307476281972,3.01053443002436,3.5787176204846127,3.5787176204846127,3.825502206284913,3.9491617366046707
2,James H. Roberts Playground,42.35952553200005,-71.12533246149997,1.0,16.0,60.0,37.0,66.0,33.0,112.0,25.0,3.0,58.0,118.0,0.4292525794227988,0.525368508075221,0.7594502043076526,0.802752417274953,1.2203212122860507,2.2711739191962317,2.77037912950492,3.6405141218254884,3.6405141218299075,3.6405141218299075
3,Smith Playground,42.36507196100004,-71.13104615899996,4.0,37.0,60.0,66.0,16.0,33.0,112.0,25.0,3.0,58.0,118.0,0.027724186416734554,0.05677645917916106,0.0812793190085129,0.37379796000919746,1.2067391307832802,2.450286577259282,3.402367569361464,4.295089592407915,4.295089592412551,4.295089592412551
4,Fern Square,42.35953406100006,-71.13329072949998,1.0,60.0,37.0,66.0,16.0,33.0,112.0,25.0,3.0,118.0,58.0,0.3972084296522705,0.5176787040048093,0.519779306337201,0.7603548109137298,0.7833599349017047,2.013585189056357,3.4402392639701063,4.101542177826201,4.101542177831363,4.101542177831363
5,Ringer Playground,42.35045632200007,-71.13812892049995,1.0,33.0,112.0,60.0,66.0,37.0,16.0,25.0,3.0,58.0,118.0,0.1850556196452507,0.8160189748281549,1.315632503968812,1.4178985188839799,1.42733600399703,1.6154078882509089,3.5849736297193275,3.675866890791643,3.6758668907980803,3.6758668907980803
6,McKinney Playground,42.35463145150004,-71.15292741949997,0.0,33.0,112.0,66.0,37.0,60.0,16.0,25.0,79.0,80.0,3.0,1.1518276161650904,1.5806634009599425,1.8294571431945637,1.8739480604540855,1.9346448195137849,2.354109636269151,4.879325067488794,4.929327577919629,4.929327577919629,5.0103331107388085
7,Hobart Park,42.35572421900005,-71.16132052399996,0.0,33.0,112.0,66.0,37.0,60.0,16.0,79.0,80.0,25.0,3.0,1.9133995649939133,2.2002935957890855,2.4537642815842045,2.503249417640961,2.5996108868947263,3.0232379434219685,5.567853162289517,5.567853162289517,5.643268598744811,5.729127307483271
8,Market Street Burying Ground,42.35045317300006,-71.15234523399997,0.0,33.0,112.0,66.0,37.0,60.0,16.0,79.0,80.0,3.0,118.0,1.1915704797932334,1.2757620966788779,2.1610781127267487,2.197957430436264,2.2081953186936882,2.6065516155729602,4.643259262684626,4.643259262684626,4.823230085956691,4.82323008596344
9,Jackson Square,42.34597978600004,-71.15274223099996,0.0,112.0,33.0,66.0,60.0,37.0,16.0,79.0,80.0,35.0,3.0,1.042372525045546,1.4473270925668453,2.571921245704065,2.5818407381404427,2.603434901429817,2.9566207339701367,4.362611499759198,4.362611499759198,4.601452662291379,4.696320526758767
10,Reilly Playground,42.33700505250005,-71.15269437699996,0.0,112.0,33.0,60.0,66.0,37.0,16.0,80.0,79.0,75.0,35.0,1.0810690985760105,2.127899655699607,3.3277963962396093,3.3646531535763167,3.388805063529235,3.6610240352125163,3.6870435967743496,3.6870435967743496,3.9109631355444345,3.9815615475786985
11,Boyden Park,42.33954287650005,-71.16637026649997,0.0,112.0,33.0,66.0,37.0,60.0,16.0,79.0,80.0,75.0,137.0,2.091264988491525,2.7621062171289257,3.832925521139417,3.8693737177360044,3.87075818378582,4.25802010880938,4.947321485365317,4.947321485365317,5.114824150566972,5.176458534662714
