OBJECTID,Name,Avg. Lat,Avg. Long,NUM STATIONS,Station 1,Station 1 Dist ,Station 2,Station 2 Dist ,Station 3,Station 3 Dist ,Station 4,Station 4 Dist ,Station 5,Station 5 Dist ,Station 6,Station 6 Dist ,Station 7,Station 7 Dist ,Station 8,Station 8 Dist ,Station 9,Station 9 Dist ,Station 10,Station 10 Dist 
1,Indian Street Cravings,42.3505341,-71.075124,5,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654,D32046,0.37297301656759657,D32007,0.41972985121182876,D32017,0.5858898715532455,D32042,0.6194207629653027,C32008,0.6271414864664442
2,Moyzilla,42.3505341,-71.075124,5,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654,D32046,0.37297301656759657,D32007,0.41972985121182876,D32017,0.5858898715532455,D32042,0.6194207629653027,C32008,0.6271414864664442
3,Hungry Nomads,42.3505341,-71.075124,5,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654,D32046,0.37297301656759657,D32007,0.41972985121182876,D32017,0.5858898715532455,D32042,0.6194207629653027,C32008,0.6271414864664442
4,Chicken and Rice Guys ,42.3505341,-71.075124,5,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654,D32046,0.37297301656759657,D32007,0.41972985121182876,D32017,0.5858898715532455,D32042,0.6194207629653027,C32008,0.6271414864664442
5,Tacos Calleteco,42.3505341,-71.075124,5,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654,D32046,0.37297301656759657,D32007,0.41972985121182876,D32017,0.5858898715532455,D32042,0.6194207629653027,C32008,0.6271414864664442
6,Hungry Nomads,42.3505341,-71.075124,5,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654,D32046,0.37297301656759657,D32007,0.41972985121182876,D32017,0.5858898715532455,D32042,0.6194207629653027,C32008,0.6271414864664442
7,Indian Street Cravings,42.3605809,-71.057741,5,D32009,0.02554652179193965,B32008,0.1847238083601862,B32032,0.18893590962524737,D32057,0.20571836713275282,D32010,0.28351862359938046,B32061,0.37821395250508083,A32053,0.4805024402104783,A32013,0.5327135187799241,B32056,0.5403905688336003,B32004,0.601716219782034
8,Chick-fil-A,42.3778336,-71.051037,1,D32023,0.18258563106331635,D32039,0.5161532913048931,D32037,0.8354001349999223,A32036,0.9658656859182047,A32033,0.968087229081352,A32041,1.0113935039253983,D32021,1.0114948721516328,D32038,1.103983382161162,D32020,1.1448459753394786,A32031,1.3278993636191923
9,Chick-fil-A,42.3778336,-71.051037,1,D32023,0.18258563106331635,D32039,0.5161532913048931,D32037,0.8354001349999223,A32036,0.9658656859182047,A32033,0.968087229081352,A32041,1.0113935039253983,D32021,1.0114948721516328,D32038,1.103983382161162,D32020,1.1448459753394786,A32031,1.3278993636191923
10,Indian Street Cravings,42.3404783,-71.088974,1,B32062,0.19011129733834783,Z32997,0.37243111858690375,B32005,0.43903932063799195,C32063,0.4720298648475346,B32002,0.4772968049928516,C32004,0.6073425794949447,D32061,0.6187077766602779,C32056,0.6418314246610312,B32021,0.6817831897216946,B32064,0.7051612449565008
