SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist
1,Wilson Park,42.340991124000055,-71.14592892599995,0.0,0.0,4.0,6.0,5.0,1.0,2.0,3.0,0.9865062677805302,4.1138813608837745,6.1018740456123535,6.208342163040005,8.321132341003256,9.45308927034653,10.918292934854104
2,James H. Roberts Playground,42.35952553200005,-71.12533246149997,0.0,0.0,4.0,6.0,2.0,5.0,1.0,3.0,2.6408140684953727,5.294720558477569,5.602051941771558,7.150279634363818,8.06586249549347,8.857806025994826,12.948262604407631
3,Smith Playground,42.36507196100004,-71.13104615899996,0.0,0.0,4.0,6.0,2.0,5.0,1.0,3.0,2.4454203502061835,5.830665199893752,6.2722211965733985,7.379026092839822,8.514805308043977,9.4868321406931,13.372131970852966
4,Fern Square,42.35953406100006,-71.13329072949998,0.0,0.0,4.0,6.0,2.0,5.0,1.0,3.0,2.110066239398145,5.475605890074693,6.136338221788372,7.813557866500642,8.106703206492611,9.228547043660788,12.953146549129016
5,Ringer Playground,42.35045632200007,-71.13812892049995,0.0,0.0,4.0,6.0,5.0,2.0,1.0,3.0,1.1608680105649147,4.518296963346805,5.79972981136141,6.98628874192616,8.328458005819137,8.505199659271128,11.80027025520829
6,McKinney Playground,42.35463145150004,-71.15292741949997,0.0,0.0,4.0,6.0,5.0,2.0,1.0,3.0,0.6534963701577167,5.577174006934556,7.136472874677799,7.715441022247172,9.428922320799623,9.707938201173304,12.378687841400003
7,Hobart Park,42.35572421900005,-71.16132052399996,0.0,0.0,4.0,6.0,5.0,2.0,1.0,3.0,1.027880705946078,6.147624571545179,7.856524999410884,8.099678283328455,10.139241430280697,10.335621373353305,12.653500215187744
8,Market Street Burying Ground,42.35045317300006,-71.15234523399997,1.0,0.0,4.0,6.0,5.0,1.0,2.0,3.0,0.2816168670305196,5.251584283876795,6.950424795567069,7.342490709852123,9.415507972745885,9.570952573984165,11.99914599319949
9,Jackson Square,42.34597978600004,-71.15274223099996,1.0,0.0,4.0,6.0,5.0,1.0,2.0,3.0,0.20814350324254935,4.897162412613713,6.813531775121188,6.884426105495522,9.109784271936237,9.774299311125624,11.51573814943651
10,Reilly Playground,42.33700505250005,-71.15269437699996,0.0,0.0,4.0,5.0,6.0,1.0,2.0,3.0,1.097160571407609,4.039039952577674,5.81646791873987,6.412412052576756,8.315348331953968,10.091148420095834,10.425296425796457
11,Boyden Park,42.33954287650005,-71.16637026649997,0.0,0.0,4.0,5.0,6.0,1.0,3.0,2.0,1.3632305877004953,5.220577584819844,6.628373152524063,7.681693964876439,9.508467875996736,10.97847995807136,11.062795240684215
12,Evergreen Cemetery,42.33839303100004,-71.16238493699996,0.0,0.0,4.0,5.0,6.0,1.0,2.0,3.0,1.0348504345384297,4.825101210539304,6.251503100521063,7.21402203580715,9.112880838380617,10.595251839155445,10.650713260687565
13,Hardiman Playground,42.35136046800005,-71.16619070499996,0.0,0.0,4.0,5.0,6.0,1.0,2.0,3.0,1.0479874130881872,6.038195525683142,7.786336776508576,8.016689594859507,10.28466262861296,10.61442303939587,12.243738392613816
14,Rogers Park,42.34762765100004,-71.15944217249998,1.0,0.0,4.0,5.0,6.0,1.0,2.0,3.0,0.32848189008970474,5.2740157358402,7.1203593393269236,7.264655420243206,9.513984591414495,10.113158233241727,11.671065813898776
15,Chandler Pond,42.34503420700005,-71.16574343999994,0.0,0.0,4.0,5.0,6.0,1.0,2.0,3.0,0.7934669937924035,5.4779944398085005,7.063673788502801,7.617226085885599,9.743223069613446,10.585361508048466,11.465502333792022
16,Mullen Square,42.319336472500055,-71.05802175199995,0.0,6.0,1.0,4.0,2.0,5.0,0.0,3.0,1.509316234006963,3.4425997258701715,4.6894675720421874,6.353586616750886,6.832550354460688,8.475884326877278,10.671958905429936
17,Dorchester North Burying Ground,42.317206903000056,-71.06373744749996,0.0,6.0,1.0,4.0,5.0,2.0,0.0,3.0,1.2250405692373907,3.0181890568223655,4.126493851764701,6.2472741059066665,6.616466124338549,8.092021439874541,10.149938222962874
18,Downer Avenue Playground,42.31154402100006,-71.06173662799995,0.0,6.0,1.0,4.0,5.0,2.0,0.0,3.0,1.7994377823462024,2.509274541090543,4.286575013501396,6.129106163431311,7.247125234980245,8.52400740085876,9.811128094678201
19,Quincy/Stanley Play Area,42.31108400200006,-71.06878294449996,0.0,6.0,1.0,4.0,5.0,2.0,0.0,3.0,1.613696690136345,2.3332215638250564,3.731792447031849,5.591803441305908,7.4646526849496695,8.085560895340901,9.39557723998697
20,Deer Street Park,42.310999277000064,-71.05873330549994,0.0,6.0,1.0,4.0,5.0,2.0,0.0,3.0,2.027272731365574,2.551253674918921,4.572644668606963,6.340295078512962,7.263935765442482,8.808832072014372,9.90982608761359
21,Savin Hill Beach,42.30725802400005,-71.05146770649995,0.0,1.0,6.0,4.0,5.0,2.0,0.0,3.0,2.3760424933531428,2.580302061751714,5.032337021268318,6.565951113366736,7.499753022155505,9.359780340924987,9.849645501605366
22,Coppens Square,42.30841677250007,-71.06437005599997,0.0,6.0,1.0,4.0,5.0,2.0,0.0,3.0,2.0279473743526832,2.1133406554416676,4.1197223390348165,5.785138089364831,7.649463591468141,8.552016781234476,9.383507019962066
23,Old Harbor Park,42.319906344500026,-71.04038230249995,0.0,6.0,1.0,4.0,2.0,5.0,0.0,3.0,2.558936229246569,4.159935805779488,5.871698596315853,5.893877497180953,7.949542635562854,9.487072598579267,11.587816976370398
24,McConnell Park,42.30891298350005,-71.05142915899995,0.0,6.0,1.0,4.0,5.0,2.0,0.0,3.0,2.471143324459975,2.514930368053107,5.032593260399623,6.621209519701501,7.335635785839723,9.305730771110927,9.975936668502094
