OBJECTID,Name,Avg. Lat,Avg. Long,NUM STATIONS,Station 1,Station 1 Dist ,Station 2,Station 2 Dist ,Station 3,Station 3 Dist ,Station 4,Station 4 Dist ,Station 5,Station 5 Dist ,Station 6,Station 6 Dist ,Station 7,Station 7 Dist ,Station 8,Station 8 Dist ,Station 9,Station 9 Dist ,Station 10,Station 10 Dist 
0,Brighton Farmers Market ,42.34787167457793,-71.15368634382988,0,D32028,0.30571633427261113,D32029,0.5593735004158729,D32054,0.6853107560145776,D32033,0.8628672232704073,D32031,1.096804322628077,D32034,1.1313097118088293,D32001,1.1965082056690246,A32045,1.3823696198202535,B32035,1.392648109340965,A32001,1.4792389168456048
1,Dorchester Winter Farmers Market,42.28996,-71.07184,2,C32038,0.04152721772719209,C32055,0.2948775795386171,C32110,0.5661658612502859,E32009,0.6001196716392123,C32066,0.7889846340478214,C32062,0.7924203571524521,C32043,1.3600893464173567,C32041,1.4142601591249278,C32103,1.4271072022438025,C23109,1.4969055076133442
2,East Boston Farmers Market ,42.37523096217105,-71.04067286270865,2,A32041,0.12487719960910665,A32036,0.21505491143593297,A32033,0.5769423523709594,A32031,0.6408155908068671,A32032,0.6633895133893493,A32049,0.6654155817676847,A32030,0.7132741480848653,D32023,0.7624046518430758,A32044,1.0271330732020938,A32057,1.0615100181025388
3,WeGrowMicrogreens,42.242853655774326,-71.13669254708356,0,C32104,1.7398424401556318,E32013,1.9449592053553935,E32014,3.0257219370029396,C32106,3.152501477313877,C32079,4.315838759517955,Z32999,4.423152129084964,C32087,4.433841387639221,C32045,4.512426563425704,C32086,4.749277562570838,C32059,4.831049426849813
4,JP Centre St Farmers Market,42.31217347723417,-71.11437003420234,0,E32001,0.35735960158986124,E32005,0.6059741187150026,D32052,0.6895699141226969,D32040,0.8348422768040263,D32041,0.9810797614095953,E32003,1.1289588399135555,E32010,1.2497343024239613,E32004,1.3549087073689852,C32102,1.5008275888713565,E32006,1.6744527651744865
5,Roslindale Farmers Market,42.286544565592784,-71.12844091350875,2,C32046,0.032756560462438224,C32047,0.08149973654715591,C32059,0.6833074523843963,C32048,0.9052209999293497,C32079,1.2835933015467833,C32089,1.472931289188785,C32105,1.5459953234619563,E32010,1.9800682475446352,C32085,2.062636576970787,C32106,2.1848636225895404
6,Dudley Town Common Farmers Market,42.32511493677896,-71.07487582035198,1,C32015,0.046263156782922636,C32022,0.7099600219227611,B32017,0.908234359226881,B32026,1.0017429833026579,B32022,1.0173024424553878,C32005,1.1608662419480864,D32059,1.2754723168767423,B32055,1.3490796884643175,C32061,1.3711863917319158,B32023,1.4110010792617385
