OBJECTID,Title,Artist,Avg. Lat,Avg. Long,NUM STATIONS,Station 1,Station 1 Dist ,Station 2,Station 2 Dist ,Station 3,Station 3 Dist ,Station 4,Station 4 Dist ,Station 5,Station 5 Dist ,Station 6,Station 6 Dist ,Station 7,Station 7 Dist ,Station 8,Station 8 Dist ,Station 9,Station 9 Dist ,Station 10,Station 10 Dist 
36,Where We Belong 歸屬 歸宿,Ponnapa Prakkamakul with Asian CDC's A-VOYCE youth program,42.3524995,-71.06061049,10,Food Opera,0.030522555256605792,ASIAN GARDEN RESTAURANT INC.,0.06888457152687721,New Moon Villa Restaurant,0.0793359695832723,Kaze Shabu Shabu,0.08163637913091511,Avana Market Place,0.09743237690272667,Friendship BBQ,0.09743237690272667,Hyatt Regency Boston,0.0995742492084909,Dumpling King,0.10492664309102188,Nan Xiang Express,0.10704670719721861,Jibei Chuan,0.10709192758760427
37,Faces of Allston,Pete Cosmos,42.36427571,-71.13272369,4,WBZ Cafe,0.0839449939778642,Starbucks Coffee,0.19182176823787037,Dunkin Donuts (209 North Harvard St.),0.25094348979126946,Sloane's,0.2606790074548157,Spring Shabu-Shabu,0.320143376614487,Swiss Bakers,0.37447669770915126,At Union,0.3990606288195629,Ariana Restaurant,0.4928768013148039,Mcdonalds,0.4928768013148039,Perillas Food,0.4928768013148039
38,Holy Mackerel,Percy Fortini-Wright,42.34502383,-71.06052906,10,AC Hotel by Marriot,0.11793528585318265,Capital One Cafe,0.1903486235946167,PLNT Burger,0.1903486235946167,WHOLE FOODS MARKET,0.1903486235946167,Bar Mezzana,0.22940040797220038,Fuji at Ink Block,0.2325655555992199,Yellow Door Taqueria,0.2325655555992199,Sweetgreen,0.23297392105899614,Cuppa Coffee,0.2344675028574048,Baleia,0.23529102193094503
39,No Strings Detached,Paul Goodnight and Larry Pierce,42.31267606,-71.08039451,3,Caramelo Bakery Cafe,0.11372172745630846,Cool Shade Restaurant,0.15414904013500844,Future Chefs,0.18551000606766935,FLAMES RESTAURANT III  INC.,0.3379417478624451,New York Fried Chicken,0.3740976846129919,Love Health,0.37416207402000573,DUNKIN DONUTS BLUE HILL AVE,0.3885501376663819,Food For The Soul,0.3899303297730073,Yaz's House Of Pizza,0.3899303297730073,Eat Well Meal Kits,0.5355617294170385
40,Augment,Nick Cave,42.31642831,-71.06565859,10,Uphams House of Pizza,0.04233216209114387,Singhs Roti,0.04631755295775147,Boston Pizza & Grill,0.06786272675901404,DUBLIN HOUSE,0.07481315047750098,CANTON HOUSE,0.08728234700792577,NEW YORK FRIED CHICKEN & PIZZA,0.12131456019861815,Comfort Kitchen,0.17634278507061432,New Ho Toy,0.18573624698175162,Picalonga Restaurant,0.18867342169258414,Oasis Restaurant,0.22923502943894353
41,Roxbury Rhapsody,Napoleon Jones-Henderson,42.33027871,-71.08384126,10,Dudley Cafe,0.02130537506469122,Royal Fried Chicken,0.11275713822165181,Yummy Yummy,0.11275713822165181,Arizona B B Q,0.11315536412992591,Dunkin' Donuts,0.11315536412992591,Shanti Express,0.13481882197635445,Joe's Famous Subs & Pizza,0.13855733739019044,Fasika Cafe,0.14768202905325067,Dahlak Restaurant,0.15032383111637834,Khadija's  Express Cafe,0.15032383111637834
42,Together,Mz. Icar,42.33242602,-71.06918002,4,Mcdonalds,0.13944758370592814,New England Center For Arts & Technology,0.1413801954016369,New Market Pizza & Grill,0.1564981055079806,960 Cafe,0.2935238945109229,New Market Sq. Cafe,0.3021320520825324,Dona Habana Restaurant,0.3097634503110954,HAMPTON INN & SUITES BOSTON,0.3097634503110954,DUNKIN DONUTS',0.3771182902976081,DUNKIN' DONUTS #0311,0.4372699589312338,The Shames Cafe,0.4397852579291741
43,Youth Lead the Change: Rise Up from Your Roots,Mel Mandel,42.2897688,-71.08352056,0,Fresh Food Generation,0.4505640568740411,Restaurant Y Cafeteria Los Nietos,0.4616978809594215,CARVER DEN,0.46528136502297884,Top Griyo Restaurant,0.47375391904354797,Boston Fried Chicken,0.4782922339967034,ONLY ONE JAMAICAN RESTAURANT,0.4973214412600956,Stalex Pizza,0.5197173036643692,Nu Flav Restaurant,0.6344443592218683,SUN PIZZA.,0.6753968581255003,Greek Pizza Restaurant,0.7572466570174511
44,Black Inventors,"Mayor's Mural Crew, Thomas Burns",42.30907628,-71.08060932,9,DUNKIN DONUTS BLUE HILL AVE,0.1233451351029576,New York Fried Chicken,0.14651976682058657,Love Health,0.14816932625896206,FLAMES RESTAURANT III  INC.,0.14934951931981702,Food For The Soul,0.212489472931098,Yaz's House Of Pizza,0.212489472931098,SUN PIZZA,0.2484842771994233,Cool Shade Restaurant,0.25065214431476923,Don Tequeno Y Dona Arepa,0.2602883237022736,Caramelo Bakery Cafe,0.3025736895167807
45,Sports Heros,"Mayor's Mural Crew, Marshall Dackert",42.278621,-71.163887,3,AFC Sushi @Star Market #3577,0.04934270395955105,NexDine @ Catholic Memorial High School,0.22273369748036964,PARKWAY LITTLE LEAGUE STAND,0.28545223039079143,Dunkin' Donuts(C.A. Donuts),0.33797677092357237,Johnny's Takeaway,0.3992312513191865,Tony's Place,0.40141598029703496,Pu Pu Restaurant,0.48010091862079834,Anna Hand Cut Donuts,0.4945593068439202,Deno's Pizza and Subs,0.5195103828159867,CORRIB PUB AND RESTAURANT,0.5425616793441226
