OBJECTID,OS_ID,PARK_ID,Name,Type,Acres,Avg. Lat,Avg. Long
296,331,331,Zero Quinn Way,Parks,0.03202902,42.28215353400006,-71.15738639249997
297,114,114,Fenelon Street Playground,Playgrounds,0.19241198,42.30318813000005,-71.07961326399996
298,293,293,Stanley-Bellevue Park,Parks,0.35813587,42.311309885500066,-71.06791538399995
299,1018,,Allandale Woods ROW,Urban Wilds,0.16386259,42.29766986450005,-71.13384382199996
300,291,291,St Helena's Park,Parks,0.17481047,42.34006191800003,-71.06694604949996
301,1019,,Theresa Hynes Park,Parks,0.42343944,42.344328307500064,-71.15456860099997
302,109,109,Ernst Chery Jr. Playground,Playgrounds,0.23395832,42.27425927100006,-71.09909795549996
303,1020,,Millennium Park II,Urban Wilds,8.33222815,42.28297040900006,-71.18934161249996
304,3064,,North Point Park,Parks,2.34133036,42.36857711250005,-71.06887003349996
305,4051,,Bremen Street Park I,Parks,17.78916058,42.37533288900005,-71.03027364249996
306,3065,,South Bank Park,"Parkways, Reservations & Beaches",2.39521477,42.367296715000066,-71.06162684699996
307,4056,,Lincoln Street Green,"Malls, Squares & Plazas",0.17757051,42.35273134500005,-71.05748120099997
308,4058,,Chinatown Park,"Malls, Squares & Plazas",0.84197364,42.35179829050006,-71.05909672999996
309,4059,,Armenian Heritage Park,"Malls, Squares & Plazas",0.2538375,42.360893105500054,-71.05323270299996
310,4061,,Endicott Triangle,"Malls, Squares & Plazas",0.03843055,42.36370417800006,-71.05740882949996
311,4063,,Dewey Square Parks,"Malls, Squares & Plazas",2.64044907,42.35463364900005,-71.05240913699996
312,2057,,Federal Reserve Bank Harborwalk,"Malls, Squares & Plazas",0.08032794,42.351856253500046,-71.05245839899996
313,7090,,Tufts Wharf Harborwalk,"Malls, Squares & Plazas",0.73915412,42.35341453800004,-71.05153805899997
314,7091,,Russia Wharf Harborwalk,"Malls, Squares & Plazas",0.06115193,42.35276321050006,-71.05203145449997
315,4068,,North End Park,"Malls, Squares & Plazas",2.82787538,42.36267243200007,-71.05667304049996
316,4069,,Wharf District Park,"Malls, Squares & Plazas",4.71128786,42.35727697450005,-71.05132888149998
317,192,192,McGann Park,Parks,0.88087107,42.26418559250004,-71.12774285949996
318,16,016,Bay Village Garden,"Malls, Squares & Plazas",0.01815408,42.34913754400006,-71.06836146649997
319,4070,,Bussey Brook Meadow II,Open Land,1.25776152,42.29961928500006,-71.11574282149996
320,2172,,Franklin Park II,Parks,16.44115769,42.30412288350004,-71.09119691499995
321,1021,,Brian Honan Park,Parks,0.96367385,42.34434003600006,-71.14023932399996
322,1022,,Allandale Woods II,Urban Wilds,10.60073766,42.29991383250004,-71.13413935299997
323,7104,,Mattahunt Woods II,Other Open Land,3.40667513,42.27425864150004,-71.10465259049997
324,2073,,BPL Courtyard,"Malls, Squares & Plazas",0.18670139,42.34942457900007,-71.07791367399997
325,2176,,Sharon's Park,"Malls, Squares & Plazas",0.31493329,42.321472658500056,-71.05517102749997
326,1023,,Mattahunt Woods I,Urban Wilds,8.85081077,42.273461714000064,-71.10442702699996
327,20,020,Beethoven School Play Area,Parks,0.52464693,42.26387813850005,-71.15529218149996
328,3,003,Algonquin Square,"Malls, Squares & Plazas",0.03890156,42.29774112800004,-71.07298623199998
329,102,102,Robert G. Lawson Park,"Malls, Squares & Plazas",0.12211615,42.31589681900007,-71.09852385149995
330,2178,,Hunt Playground II,Playgrounds,0.18639601,42.27582773000006,-71.09683112099995
331,2077,,Golden Stairs Terrace Park II,"Malls, Squares & Plazas",0.07587316,42.36490271000005,-71.03389858649996
332,138,138,Foley Square,"Malls, Squares & Plazas",0.14070438,42.26413578300006,-71.11808325499996
333,340,340,Jones Square,"Malls, Squares & Plazas",0.04306554,42.25252405050006,-71.11375786549996
334,7116,,Schraffts Centre Harborwalk,"Malls, Squares & Plazas",1.00812584,42.38582200300007,-71.06907881049995
335,1024,,Roslindale Wetlands Urban Wild I,Urban Wilds,9.58705106,42.29314187050005,-71.13225098099994
336,315,315,Webster Square,"Malls, Squares & Plazas",0.05439216,42.25787662000005,-71.12073804899998
337,327,327,Wolf Square,"Malls, Squares & Plazas",0.02279554,42.31431232650007,-71.09135168549997
338,329,329,Woodworth Square,"Malls, Squares & Plazas",0.03458118,42.255560376000034,-71.11253387099995
339,4074,,East Boston Memorial Park II,Parks,1.80074841,42.37056573350006,-71.02902117849996
340,4016,,East Boston Memorial Park III,Parks,3.25828701,42.37234786850004,-71.03216512949996
341,4075,,Bremen Street Park II,Parks,0.00973802,42.37815877750006,-71.02591471199995
342,38,038,Bussey Brook Meadow I,Urban Wilds,24.6767483,42.297078372000044,-71.11918027349998
343,3068,,Arborway II,"Parkways, Reservations & Beaches",1.15264166,42.30071505650005,-71.10841199399997
344,1025,,Allandale Woods IV,Urban Wilds,6.29445592,42.29982354150005,-71.13271362099997
345,7122,,Allandale Woods V,Urban Wilds,2.78226138,42.29838911050004,-71.13174208949997
346,7128,,Pier Four Harborwalk,"Malls, Squares & Plazas",0.08833499,42.35282711500005,-71.04248154299995
347,13,013,Back Bay Fens,Parks,70.10028354,42.34102701750007,-71.09581352449996
348,263,263,Riverway I,Parks,17.1859298,42.34272497000006,-71.10741242299997
349,264,264,Riverway III,Parks,5.29710791,42.33473119000004,-71.11121258449995
350,3069,,Riverway IV,"Parkways, Reservations & Beaches",1.92234381,42.334197636000056,-71.11115399349995
351,163,163,Jamaica Pond Park,Parks,97.73817701,42.31758780800004,-71.12020020049994
352,3070,,Charlesgate II,"Parkways, Reservations & Beaches",1.48764482,42.34704333800005,-71.09138738649997
353,3071,,Agassiz Road,"Parkways, Reservations & Beaches",0.60408234,42.343151132500054,-71.09290281099996
354,3072,,Columbia Road Park,Parks,0.12376056,42.32084707900003,-71.05611653399995
355,2186,,Boylston Street I,"Parkways, Reservations & Beaches",0.61687744,42.34594054050004,-71.09442080299996
356,3074,,Boylston Street II,"Parkways, Reservations & Beaches",1.78015257,42.34697171800005,-71.09306306949995
357,3075,,The Fenway II,"Parkways, Reservations & Beaches",0.7685747,42.34249465500005,-71.10271118849997
358,2187,,Park Drive I,"Parkways, Reservations & Beaches",5.09545412,42.34182092900005,-71.09710830999998
359,3077,,Park Drive II,"Parkways, Reservations & Beaches",1.38266086,42.342881758500056,-71.10260790449996
360,338,338,Fire Alarm House Grounds,Parks,0.84452826,42.344177004000045,-71.09123357949997
361,3078,,Riverway II,"Parkways, Reservations & Beaches",2.36332055,42.34184903950006,-71.10655922599997
362,2188,,Riverway V,"Parkways, Reservations & Beaches",0.44906601,42.33822694050005,-71.11038394499994
363,62,062,Commonwealth Avenue Mall I,"Malls, Squares & Plazas",10.87118254,42.35335704450003,-71.07275741299998
364,3080,,Centre Street II,"Parkways, Reservations & Beaches",0.33933367,42.297187597500056,-71.13167186849998
365,3081,,Centre Street I,"Parkways, Reservations & Beaches",2.24981233,42.305557416000056,-71.12365274649997
366,3082,,Centre Street IV,"Parkways, Reservations & Beaches",0.31576081,42.298651600000056,-71.13024995749996
367,7132,,Reserved Channel Harborwalk,"Malls, Squares & Plazas",3.18537612,42.34151280350005,-71.03685176599996
368,4078,,Tunnel Harborwalk,"Malls, Squares & Plazas",0.18410324,42.348369854000055,-71.03369009799997
369,2190,,Aquarium Harborwalk II,"Malls, Squares & Plazas",0.05082117,42.35834291450007,-71.05023684349996
370,7133,,India Wharf Harborwalk,"Malls, Squares & Plazas",0.41591327,42.35783451650008,-71.04981816549997
371,7134,,Rowe's Wharf Harborwalk,"Malls, Squares & Plazas",1.25944293,42.35659344650003,-71.04978829199996
372,7135,,400R Atlantic Avenue Harborwalk,"Malls, Squares & Plazas",0.04594522,42.35552166800005,-71.05004313899994
373,6005,,408 Atlantic Avenue Harborwalk,"Malls, Squares & Plazas",0.03425732,42.355179446500074,-71.05023482999997
374,7136,,Independence Wharf Harborwalk,"Malls, Squares & Plazas",0.17578463,42.354176819500054,-71.05123671899995
375,7137,,Commercial Wharf Harborwalk,"Malls, Squares & Plazas",0.19451575,42.36189583700005,-71.04832521749998
376,1026,,Nancy Kafka Reserve,Parks,0.71482504,42.324874666000056,-71.09249814949996
377,32,032,Brighton Common,"Malls, Squares & Plazas",0.50666062,42.34781614900007,-71.15362008049996
378,297,297,Sweeney Playground,Playgrounds,0.46237615,42.33722106700006,-71.05157253899998
379,275,275,Ryan Play Area,Parks,0.63636129,42.31774484950006,-71.05621490999997
380,174,174,Lambert Avenue Playground,Playgrounds,0.6620697,42.327245712000064,-71.09064810349997
381,2,002,Adams/King Playground,Playgrounds,0.67749653,42.293541343000044,-71.05678987699994
382,3083,,Meany Park,Parks,0.23297897,42.31886827150004,-71.05916919099997
383,178,178,Lincoln Square 1,"Malls, Squares & Plazas",0.05462822,42.35161156600006,-71.06786132149995
384,37,037,Bunker Hill Burying Ground,Cemeteries & Burying Grounds,1.10725989,42.379402133500065,-71.06178490449994
385,59,059,Clifford Playground,Playgrounds,7.55334443,42.32626385100005,-71.06892391199997
386,106,106,Elmhurst Street Park,Parks,0.2348565,42.289408646000055,-71.07647061449995
387,1027,,Dunbarton Woods,Urban Wilds,0.73523252,42.260708159000046,-71.15442220449998
388,7141,,Joe's American Harborwalk,"Malls, Squares & Plazas",0.04359801,42.36185611050007,-71.05060163049995
389,30,030,Bradford Street Play Area,Parks,0.03665251,42.34268664900006,-71.06901527799997
390,179,179,Lincoln Square 2,"Malls, Squares & Plazas",0.21659302,42.33465769600005,-71.03380805199996
391,177,177,Laviscount Park,Parks,1.1541777,42.316509180000054,-71.08610780849995
392,294,294,Statler Park,"Malls, Squares & Plazas",0.2326726,42.35064340550005,-71.06906713649997
393,159,159,Hynes Playground,Playgrounds,6.41668495,42.29452830200006,-71.15359875399994
394,3084,,Rink Grounds 1,Parks,0.7343436,42.37411272700004,-71.06642352299997
395,3085,,Roxbury Heritage State Park I,Parks,1.78135758,42.330736325500055,-71.09030907749997
396,103,103,Eliot Burying Ground,Cemeteries & Burying Grounds,0.7936643,42.33199297050004,-71.08109953599995
